loc,date,Humi,dew,snow
ÆÈ°ø»ê,2018-01-01 0:00,38,-13.1,
ÆÈ°ø»ê,2018-01-01 1:00,38,-13.1,
ÆÈ°ø»ê,2018-01-01 2:00,41,-12.8,
ÆÈ°ø»ê,2018-01-01 3:00,43,-12.2,
ÆÈ°ø»ê,2018-01-01 4:00,42,-12.5,
ÆÈ°ø»ê,2018-01-01 5:00,43,-13,
ÆÈ°ø»ê,2018-01-01 6:00,44,-13.2,
ÆÈ°ø»ê,2018-01-01 7:00,42,-14,
ÆÈ°ø»ê,2018-01-01 8:00,46,-13.7,
ÆÈ°ø»ê,2018-01-01 9:00,32,-14.3,
ÆÈ°ø»ê,2018-01-01 10:00,28,-14.6,
ÆÈ°ø»ê,2018-01-01 11:00,25,-15.2,
ÆÈ°ø»ê,2018-01-01 12:00,22,-16,
ÆÈ°ø»ê,2018-01-01 13:00,16,-19.3,
ÆÈ°ø»ê,2018-01-01 14:00,15,-19.1,
ÆÈ°ø»ê,2018-01-01 15:00,16,-18.4,
ÆÈ°ø»ê,2018-01-01 16:00,17,-18.2,
ÆÈ°ø»ê,2018-01-01 17:00,23,-15.4,
ÆÈ°ø»ê,2018-01-01 18:00,28,-14.1,
ÆÈ°ø»ê,2018-01-01 19:00,32,-13.2,
ÆÈ°ø»ê,2018-01-01 20:00,34,-12.9,
ÆÈ°ø»ê,2018-01-01 21:00,38,-11.7,
ÆÈ°ø»ê,2018-01-01 22:00,43,-11,
ÆÈ°ø»ê,2018-01-01 23:00,47,-11,
ÆÈ°ø»ê,2018-01-02 0:00,58,-10.4,
ÆÈ°ø»ê,2018-01-02 1:00,56,-10.2,
ÆÈ°ø»ê,2018-01-02 2:00,57,-10.5,
ÆÈ°ø»ê,2018-01-02 3:00,61,-10.3,
ÆÈ°ø»ê,2018-01-02 4:00,65,-10.1,
ÆÈ°ø»ê,2018-01-02 5:00,70,-10.2,
ÆÈ°ø»ê,2018-01-02 6:00,74,-10.4,
ÆÈ°ø»ê,2018-01-02 7:00,77,-10.2,
ÆÈ°ø»ê,2018-01-02 8:00,76,-10.1,
ÆÈ°ø»ê,2018-01-02 9:00,70,-8.4,
ÆÈ°ø»ê,2018-01-02 10:00,52,-7.7,
ÆÈ°ø»ê,2018-01-02 11:00,44,-7.1,
ÆÈ°ø»ê,2018-01-02 12:00,45,-5.5,
ÆÈ°ø»ê,2018-01-02 13:00,43,-5.7,
ÆÈ°ø»ê,2018-01-02 14:00,42,-5.6,
ÆÈ°ø»ê,2018-01-02 15:00,43,-5.3,
ÆÈ°ø»ê,2018-01-02 16:00,46,-5,
ÆÈ°ø»ê,2018-01-02 17:00,49,-4.9,
ÆÈ°ø»ê,2018-01-02 18:00,53,-4.7,
ÆÈ°ø»ê,2018-01-02 19:00,46,-7.1,
ÆÈ°ø»ê,2018-01-02 20:00,36,-10.6,
ÆÈ°ø»ê,2018-01-02 21:00,33,-12.2,
ÆÈ°ø»ê,2018-01-02 22:00,25,-15.5,
ÆÈ°ø»ê,2018-01-02 23:00,23,-16.8,
ÆÈ°ø»ê,2018-01-03 0:00,25,-16.8,
ÆÈ°ø»ê,2018-01-03 1:00,23,-18.2,
ÆÈ°ø»ê,2018-01-03 2:00,25,-18.3,
ÆÈ°ø»ê,2018-01-03 3:00,29,-17.4,
ÆÈ°ø»ê,2018-01-03 4:00,34,-15.8,
ÆÈ°ø»ê,2018-01-03 5:00,38,-14.2,
ÆÈ°ø»ê,2018-01-03 6:00,44,-13.5,
ÆÈ°ø»ê,2018-01-03 7:00,43,-13.7,
ÆÈ°ø»ê,2018-01-03 8:00,44,-13.5,
ÆÈ°ø»ê,2018-01-03 9:00,36,-14.4,
ÆÈ°ø»ê,2018-01-03 10:00,27,-16.6,
ÆÈ°ø»ê,2018-01-03 11:00,24,-16.8,
ÆÈ°ø»ê,2018-01-03 12:00,21,-17.9,
ÆÈ°ø»ê,2018-01-03 13:00,20,-17.7,
ÆÈ°ø»ê,2018-01-03 14:00,19,-17.5,
ÆÈ°ø»ê,2018-01-03 15:00,18,-18.4,
ÆÈ°ø»ê,2018-01-03 16:00,18,-18.9,
ÆÈ°ø»ê,2018-01-03 17:00,22,-17.6,
ÆÈ°ø»ê,2018-01-03 18:00,25,-17.3,
ÆÈ°ø»ê,2018-01-03 19:00,27,-16.9,
ÆÈ°ø»ê,2018-01-03 20:00,28,-16.4,
ÆÈ°ø»ê,2018-01-03 21:00,30,-15.9,
ÆÈ°ø»ê,2018-01-03 22:00,32,-15.8,
ÆÈ°ø»ê,2018-01-03 23:00,33,-15.9,
ÆÈ°ø»ê,2018-01-04 0:00,36,-15.5,
ÆÈ°ø»ê,2018-01-04 1:00,38,-14.9,
ÆÈ°ø»ê,2018-01-04 2:00,40,-14.5,
ÆÈ°ø»ê,2018-01-04 3:00,44,-13.8,
ÆÈ°ø»ê,2018-01-04 4:00,47,-13.4,
ÆÈ°ø»ê,2018-01-04 5:00,48,-13,
ÆÈ°ø»ê,2018-01-04 6:00,50,-12.7,
ÆÈ°ø»ê,2018-01-04 7:00,53,-12.2,
ÆÈ°ø»ê,2018-01-04 8:00,53,-12.2,
ÆÈ°ø»ê,2018-01-04 9:00,49,-11.6,
ÆÈ°ø»ê,2018-01-04 10:00,40,-12.2,
ÆÈ°ø»ê,2018-01-04 11:00,33,-13.9,
ÆÈ°ø»ê,2018-01-04 12:00,28,-14.4,
ÆÈ°ø»ê,2018-01-04 13:00,23,-15.6,
ÆÈ°ø»ê,2018-01-04 14:00,21,-16,
ÆÈ°ø»ê,2018-01-04 15:00,18,-17.4,
ÆÈ°ø»ê,2018-01-04 16:00,19,-17.1,
ÆÈ°ø»ê,2018-01-04 17:00,23,-15.4,
ÆÈ°ø»ê,2018-01-04 18:00,24,-15.9,
ÆÈ°ø»ê,2018-01-04 19:00,28,-14.8,
ÆÈ°ø»ê,2018-01-04 20:00,31,-14,
ÆÈ°ø»ê,2018-01-04 21:00,36,-12.8,
ÆÈ°ø»ê,2018-01-04 22:00,41,-11.7,
ÆÈ°ø»ê,2018-01-04 23:00,41,-11.9,
ÆÈ°ø»ê,2018-01-05 0:00,44,-11.1,
ÆÈ°ø»ê,2018-01-05 1:00,46,-10.6,
ÆÈ°ø»ê,2018-01-05 2:00,52,-9.2,
ÆÈ°ø»ê,2018-01-05 3:00,48,-10,
ÆÈ°ø»ê,2018-01-05 4:00,48,-10.2,
ÆÈ°ø»ê,2018-01-05 5:00,52,-9.3,
ÆÈ°ø»ê,2018-01-05 6:00,50,-9.5,
ÆÈ°ø»ê,2018-01-05 7:00,34,-13.5,
ÆÈ°ø»ê,2018-01-05 8:00,33,-14,
ÆÈ°ø»ê,2018-01-05 9:00,32,-13.9,
ÆÈ°ø»ê,2018-01-05 10:00,29,-13.5,
ÆÈ°ø»ê,2018-01-05 11:00,28,-13.6,
ÆÈ°ø»ê,2018-01-05 12:00,23,-14.3,
ÆÈ°ø»ê,2018-01-05 13:00,20,-15,
ÆÈ°ø»ê,2018-01-05 14:00,21,-14.3,
ÆÈ°ø»ê,2018-01-05 15:00,20,-15.1,
ÆÈ°ø»ê,2018-01-05 16:00,19,-16.4,
ÆÈ°ø»ê,2018-01-05 17:00,20,-16.7,
ÆÈ°ø»ê,2018-01-05 18:00,23,-16,
ÆÈ°ø»ê,2018-01-05 19:00,29,-14.4,
ÆÈ°ø»ê,2018-01-05 20:00,36,-12.1,
ÆÈ°ø»ê,2018-01-05 21:00,43,-11.2,
ÆÈ°ø»ê,2018-01-05 22:00,46,-10.1,
ÆÈ°ø»ê,2018-01-05 23:00,50,-9.6,
ÆÈ°ø»ê,2018-01-06 0:00,54,-9.2,
ÆÈ°ø»ê,2018-01-06 1:00,57,-9.1,
ÆÈ°ø»ê,2018-01-06 2:00,60,-8.9,
ÆÈ°ø»ê,2018-01-06 3:00,60,-8.6,
ÆÈ°ø»ê,2018-01-06 4:00,60,-8.5,
ÆÈ°ø»ê,2018-01-06 5:00,60,-8.4,
ÆÈ°ø»ê,2018-01-06 6:00,59,-8.8,
ÆÈ°ø»ê,2018-01-06 7:00,57,-9.3,
ÆÈ°ø»ê,2018-01-06 8:00,51,-10.8,
ÆÈ°ø»ê,2018-01-06 9:00,40,-12.3,
ÆÈ°ø»ê,2018-01-06 10:00,30,-14.5,
ÆÈ°ø»ê,2018-01-06 11:00,29,-14.1,
ÆÈ°ø»ê,2018-01-06 12:00,26,-13.9,
ÆÈ°ø»ê,2018-01-06 13:00,24,-14.2,
ÆÈ°ø»ê,2018-01-06 14:00,21,-14.6,
ÆÈ°ø»ê,2018-01-06 15:00,19,-15.2,
ÆÈ°ø»ê,2018-01-06 16:00,19,-16.3,
ÆÈ°ø»ê,2018-01-06 17:00,21,-16.1,
ÆÈ°ø»ê,2018-01-06 18:00,29,-15.2,
ÆÈ°ø»ê,2018-01-06 19:00,35,-14.5,
ÆÈ°ø»ê,2018-01-06 20:00,44,-13.5,
ÆÈ°ø»ê,2018-01-06 21:00,47,-13.2,
ÆÈ°ø»ê,2018-01-06 22:00,52,-12.9,
ÆÈ°ø»ê,2018-01-06 23:00,56,-12.9,
ÆÈ°ø»ê,2018-01-07 0:00,60,-12.8,
ÆÈ°ø»ê,2018-01-07 1:00,66,-12.3,
ÆÈ°ø»ê,2018-01-07 2:00,67,-12.6,
ÆÈ°ø»ê,2018-01-07 3:00,68,-12.6,
ÆÈ°ø»ê,2018-01-07 4:00,73,-12.4,
ÆÈ°ø»ê,2018-01-07 5:00,74,-12.6,
ÆÈ°ø»ê,2018-01-07 6:00,75,-12.7,
ÆÈ°ø»ê,2018-01-07 7:00,76,-12.3,
ÆÈ°ø»ê,2018-01-07 8:00,77,-12,
ÆÈ°ø»ê,2018-01-07 9:00,69,-11.1,
ÆÈ°ø»ê,2018-01-07 10:00,59,-9.5,
ÆÈ°ø»ê,2018-01-07 11:00,49,-9.9,
ÆÈ°ø»ê,2018-01-07 12:00,39,-10.7,
ÆÈ°ø»ê,2018-01-07 13:00,33,-11.7,
ÆÈ°ø»ê,2018-01-07 14:00,33,-11.2,
ÆÈ°ø»ê,2018-01-07 15:00,29,-12.1,
ÆÈ°ø»ê,2018-01-07 16:00,27,-12.6,
ÆÈ°ø»ê,2018-01-07 17:00,32,-10.9,
ÆÈ°ø»ê,2018-01-07 18:00,36,-10.3,
ÆÈ°ø»ê,2018-01-07 19:00,40,-10.2,
ÆÈ°ø»ê,2018-01-07 20:00,42,-9.7,
ÆÈ°ø»ê,2018-01-07 21:00,44,-9.5,
ÆÈ°ø»ê,2018-01-07 22:00,46,-9,
ÆÈ°ø»ê,2018-01-07 23:00,47,-9.1,
ÆÈ°ø»ê,2018-01-08 0:00,50,-8.1,
ÆÈ°ø»ê,2018-01-08 1:00,49,-8.5,
ÆÈ°ø»ê,2018-01-08 2:00,55,-7.4,
ÆÈ°ø»ê,2018-01-08 3:00,60,-7.4,
ÆÈ°ø»ê,2018-01-08 4:00,62,-7.1,
ÆÈ°ø»ê,2018-01-08 5:00,60,-7,
ÆÈ°ø»ê,2018-01-08 6:00,65,-6,
ÆÈ°ø»ê,2018-01-08 7:00,73,-4.5,
ÆÈ°ø»ê,2018-01-08 8:00,82,-2.8,
ÆÈ°ø»ê,2018-01-08 9:00,82,-2.3,
ÆÈ°ø»ê,2018-01-08 10:00,83,-1.4,
ÆÈ°ø»ê,2018-01-08 11:00,78,-2,
ÆÈ°ø»ê,2018-01-08 12:00,81,-0.8,
ÆÈ°ø»ê,2018-01-08 13:00,83,0.3,
