loc,date,Humi,dew,snow
청계산,2014-01-01 0:00,65,-2.6,
청계산,2014-01-01 1:00,66,-3.1,
청계산,2014-01-01 2:00,67,-3.7,
청계산,2014-01-01 3:00,60,-5.5,
청계산,2014-01-01 4:00,59,-6.2,
청계산,2014-01-01 5:00,56,-7.1,
청계산,2014-01-01 6:00,53,-7.8,
청계산,2014-01-01 7:00,55,-7.3,
청계산,2014-01-01 8:00,55,-7.5,
청계산,2014-01-01 9:00,54,-6.5,
청계산,2014-01-01 10:00,55,-4.6,
청계산,2014-01-01 11:00,55,-2.9,
청계산,2014-01-01 12:00,44,-4.4,
청계산,2014-01-01 13:00,51,-2.7,
청계산,2014-01-01 14:00,45,-4,
청계산,2014-01-01 15:00,29,-9.3,
청계산,2014-01-01 16:00,33,-7.6,
청계산,2014-01-01 17:00,53,-2.3,
청계산,2014-01-01 18:00,59,-1.3,
청계산,2014-01-01 19:00,66,0,
청계산,2014-01-01 20:00,61,-1.3,
청계산,2014-01-01 21:00,67,-0.7,
청계산,2014-01-01 22:00,61,-2.5,
청계산,2014-01-01 23:00,50,-5.8,
청계산,2014-01-02 0:00,44,-8.2,
청계산,2014-01-02 1:00,46,-8.4,
청계산,2014-01-02 2:00,46,-9.3,
청계산,2014-01-02 3:00,50,-8.9,
청계산,2014-01-02 4:00,50,-9.1,
청계산,2014-01-02 5:00,46,-10.7,
청계산,2014-01-02 6:00,50,-9.9,
청계산,2014-01-02 7:00,49,-10.4,
청계산,2014-01-02 8:00,48,-10.8,
청계산,2014-01-02 9:00,36,-14.1,
청계산,2014-01-02 10:00,29,-15.2,
청계산,2014-01-02 11:00,23,-16.5,
청계산,2014-01-02 12:00,22,-16.1,
청계산,2014-01-02 13:00,20,-16.2,
청계산,2014-01-02 14:00,19,-16.3,
청계산,2014-01-02 15:00,18,-16.9,
청계산,2014-01-02 16:00,19,-15.9,
청계산,2014-01-02 17:00,21,-15.5,
청계산,2014-01-02 18:00,27,-13.9,
청계산,2014-01-02 19:00,28,-14,
청계산,2014-01-02 20:00,34,-12.6,
청계산,2014-01-02 21:00,34,-13.2,
청계산,2014-01-02 22:00,39,-11.8,
청계산,2014-01-02 23:00,43,-10.8,
청계산,2014-01-03 0:00,46,-10.3,
청계산,2014-01-03 1:00,44,-11.3,
청계산,2014-01-03 2:00,50,-9.6,
청계산,2014-01-03 3:00,49,-10.1,
청계산,2014-01-03 4:00,51,-9.6,
청계산,2014-01-03 5:00,50,-9.7,
청계산,2014-01-03 6:00,50,-10.1,
청계산,2014-01-03 7:00,50,-10,
청계산,2014-01-03 8:00,50,-9.8,
청계산,2014-01-03 9:00,46,-10.3,
청계산,2014-01-03 10:00,40,-10.8,
청계산,2014-01-03 11:00,38,-9.9,
청계산,2014-01-03 12:00,36,-8.8,
청계산,2014-01-03 13:00,33,-8.3,
청계산,2014-01-03 14:00,39,-6.1,
청계산,2014-01-03 15:00,51,-2.8,
청계산,2014-01-03 16:00,56,-1.8,
청계산,2014-01-03 17:00,64,-0.3,
청계산,2014-01-03 18:00,70,0.4,
청계산,2014-01-03 19:00,72,0,
청계산,2014-01-03 20:00,72,-0.7,
청계산,2014-01-03 21:00,67,-3,
청계산,2014-01-03 22:00,69,-3.5,
청계산,2014-01-03 23:00,71,-3.5,
청계산,2014-01-04 0:00,66,-5,
청계산,2014-01-04 1:00,70,-5,
청계산,2014-01-04 2:00,69,-5.8,
청계산,2014-01-04 3:00,65,-7.2,
청계산,2014-01-04 4:00,49,-11.4,
청계산,2014-01-04 5:00,46,-12.1,
청계산,2014-01-04 6:00,50,-11.7,
청계산,2014-01-04 7:00,53,-11.8,
청계산,2014-01-04 8:00,58,-10.7,
청계산,2014-01-04 9:00,50,-12.2,
청계산,2014-01-04 10:00,45,-11.7,
청계산,2014-01-04 11:00,44,-10.4,
청계산,2014-01-04 12:00,38,-10.3,
청계산,2014-01-04 13:00,36,-9.5,
청계산,2014-01-04 14:00,35,-8.8,
청계산,2014-01-04 15:00,35,-9.3,
청계산,2014-01-04 16:00,39,-8.4,
청계산,2014-01-04 17:00,42,-8.5,
청계산,2014-01-04 18:00,43,-9.6,
청계산,2014-01-04 19:00,42,-10.5,
청계산,2014-01-04 20:00,42,-11.2,
청계산,2014-01-04 21:00,43,-11.5,
청계산,2014-01-04 22:00,48,-10.8,
청계산,2014-01-04 23:00,49,-10.9,
청계산,2014-01-05 0:00,53,-10.4,
청계산,2014-01-05 1:00,57,-9.8,
청계산,2014-01-05 2:00,58,-10.1,
청계산,2014-01-05 3:00,61,-9.5,
청계산,2014-01-05 4:00,64,-9.3,
청계산,2014-01-05 5:00,67,-8.8,
청계산,2014-01-05 6:00,68,-8.7,
청계산,2014-01-05 7:00,65,-9.2,
청계산,2014-01-05 8:00,62,-10.4,
청계산,2014-01-05 9:00,53,-12,
청계산,2014-01-05 10:00,50,-10.9,
청계산,2014-01-05 11:00,44,-10.3,
청계산,2014-01-05 12:00,42,-10,
청계산,2014-01-05 13:00,36,-11,
청계산,2014-01-05 14:00,30,-12.6,
청계산,2014-01-05 15:00,32,-11.5,
청계산,2014-01-05 16:00,28,-14,
청계산,2014-01-05 17:00,31,-13.3,
청계산,2014-01-05 18:00,36,-12.5,
청계산,2014-01-05 19:00,35,-13.4,
청계산,2014-01-05 20:00,40,-12.2,
청계산,2014-01-05 21:00,43,-11.2,
청계산,2014-01-05 22:00,46,-10.9,
청계산,2014-01-05 23:00,50,-10.5,
청계산,2014-01-06 0:00,52,-10.3,
청계산,2014-01-06 1:00,54,-10.4,
청계산,2014-01-06 2:00,52,-10.9,
청계산,2014-01-06 3:00,57,-9.9,
청계산,2014-01-06 4:00,61,-9.2,
청계산,2014-01-06 5:00,63,-9.4,
청계산,2014-01-06 6:00,64,-9.2,
청계산,2014-01-06 7:00,63,-9.4,
청계산,2014-01-06 8:00,65,-9.2,
청계산,2014-01-06 9:00,59,-9.9,
청계산,2014-01-06 10:00,52,-9.4,
청계산,2014-01-06 11:00,44,-9.8,
청계산,2014-01-06 12:00,38,-10.1,
청계산,2014-01-06 13:00,36,-9.5,
청계산,2014-01-06 14:00,31,-9.7,
청계산,2014-01-06 15:00,32,-9.1,
청계산,2014-01-06 16:00,33,-9,
청계산,2014-01-06 17:00,37,-8.6,
청계산,2014-01-06 18:00,46,-6.8,
청계산,2014-01-06 19:00,49,-6.7,
청계산,2014-01-06 20:00,53,-6.5,
청계산,2014-01-06 21:00,53,-6.8,
청계산,2014-01-06 22:00,53,-6.8,
청계산,2014-01-06 23:00,54,-7.1,
청계산,2014-01-07 0:00,54,-7.3,
청계산,2014-01-07 1:00,55,-6.6,
청계산,2014-01-07 2:00,54,-7,
청계산,2014-01-07 3:00,57,-6.9,
청계산,2014-01-07 4:00,56,-6.9,
청계산,2014-01-07 5:00,57,-6.5,
청계산,2014-01-07 6:00,57,-6.8,
청계산,2014-01-07 7:00,59,-6.6,
청계산,2014-01-07 8:00,55,-7.3,
청계산,2014-01-07 9:00,54,-7.2,
청계산,2014-01-07 10:00,49,-7.5,
청계산,2014-01-07 11:00,45,-7.6,
