loc,date,Humi,dew,snow
금정산,2014-01-01 0:00,49,-2.9,
금정산,2014-01-01 1:00,51,-2.8,
금정산,2014-01-01 2:00,51,-3,
금정산,2014-01-01 3:00,48,-4,
금정산,2014-01-01 4:00,51,-3.5,
금정산,2014-01-01 5:00,50,-4.2,
금정산,2014-01-01 6:00,43,-6.3,
금정산,2014-01-01 7:00,41,-6.9,
금정산,2014-01-01 8:00,43,-6.5,
금정산,2014-01-01 9:00,40,-6.3,
금정산,2014-01-01 10:00,40,-5.1,
금정산,2014-01-01 11:00,40,-4.3,
금정산,2014-01-01 12:00,37,-5,
금정산,2014-01-01 13:00,38,-4.2,
금정산,2014-01-01 14:00,38,-4.2,
금정산,2014-01-01 15:00,36,-4.6,
금정산,2014-01-01 16:00,33,-5.8,
금정산,2014-01-01 17:00,33,-6.5,
금정산,2014-01-01 18:00,25,-10.3,
금정산,2014-01-01 19:00,22,-12.4,
금정산,2014-01-01 20:00,24,-11.7,
금정산,2014-01-01 21:00,30,-9.1,
금정산,2014-01-01 22:00,31,-9.1,
금정산,2014-01-01 23:00,36,-7.3,
금정산,2014-01-02 0:00,38,-7,
금정산,2014-01-02 1:00,42,-5.7,
금정산,2014-01-02 2:00,42,-5.9,
금정산,2014-01-02 3:00,43,-5.7,
금정산,2014-01-02 4:00,45,-5.3,
금정산,2014-01-02 5:00,49,-4.9,
금정산,2014-01-02 6:00,44,-6.4,
금정산,2014-01-02 7:00,53,-4.8,
금정산,2014-01-02 8:00,50,-5,
금정산,2014-01-02 9:00,44,-4.4,
금정산,2014-01-02 10:00,28,-9.1,
금정산,2014-01-02 11:00,30,-8.2,
금정산,2014-01-02 12:00,23,-10.4,
금정산,2014-01-02 13:00,23,-10.9,
금정산,2014-01-02 14:00,21,-9.9,
금정산,2014-01-02 15:00,19,-11.3,
금정산,2014-01-02 16:00,18,-12.7,
금정산,2014-01-02 17:00,24,-10.1,
금정산,2014-01-02 18:00,28,-9.7,
금정산,2014-01-02 19:00,26,-10.9,
금정산,2014-01-02 20:00,26,-11.1,
금정산,2014-01-02 21:00,23,-12.5,
금정산,2014-01-02 22:00,33,-8.9,
금정산,2014-01-02 23:00,29,-11,
금정산,2014-01-03 0:00,31,-10.5,
금정산,2014-01-03 1:00,28,-11.6,
금정산,2014-01-03 2:00,24,-13,
금정산,2014-01-03 3:00,24,-12.9,
금정산,2014-01-03 4:00,24,-12.9,
금정산,2014-01-03 5:00,25,-12.6,
금정산,2014-01-03 6:00,25,-12.8,
금정산,2014-01-03 7:00,25,-12.7,
금정산,2014-01-03 8:00,28,-11.9,
금정산,2014-01-03 9:00,29,-10.2,
금정산,2014-01-03 10:00,23,-12,
