loc,date,Humi,dew,snow
지리산,2015-01-01 0:00,67,-8.5,
지리산,2015-01-01 1:00,73,-8.4,1
지리산,2015-01-01 2:00,70,-9.3,
지리산,2015-01-01 3:00,52,-13.9,1
지리산,2015-01-01 4:00,51,-14.7,
지리산,2015-01-01 5:00,53,-14.5,
지리산,2015-01-01 6:00,56,-14.1,1
지리산,2015-01-01 7:00,56,-14.2,
지리산,2015-01-01 8:00,58,-13.9,
지리산,2015-01-01 9:00,56,-14,
지리산,2015-01-01 10:00,50,-14.7,
지리산,2015-01-01 11:00,48,-14.4,
지리산,2015-01-01 12:00,47,-13.7,
지리산,2015-01-01 13:00,44,-14.2,
지리산,2015-01-01 14:00,40,-14.2,
지리산,2015-01-01 15:00,36,-15.6,
지리산,2015-01-01 16:00,38,-15.3,
지리산,2015-01-01 17:00,45,-13.6,
지리산,2015-01-01 18:00,49,-13.4,
지리산,2015-01-01 19:00,53,-12.9,
지리산,2015-01-01 20:00,55,-12.8,
지리산,2015-01-01 21:00,59,-12.3,
지리산,2015-01-01 22:00,61,-11.8,
지리산,2015-01-01 23:00,64,-11.7,
지리산,2015-01-02 0:00,68,-10.7,
지리산,2015-01-02 1:00,74,-9.8,0
지리산,2015-01-02 2:00,77,-9.1,1
지리산,2015-01-02 3:00,79,-9,1.5
지리산,2015-01-02 4:00,80,-8.7,
지리산,2015-01-02 5:00,81,-8.8,
지리산,2015-01-02 6:00,80,-8.7,1.5
지리산,2015-01-02 7:00,82,-8.5,
지리산,2015-01-02 8:00,83,-8.5,
지리산,2015-01-02 9:00,84,-7.5,0.7
지리산,2015-01-02 10:00,79,-7.2,0.7
지리산,2015-01-02 11:00,81,-6.5,0.8
지리산,2015-01-02 12:00,75,-5.9,
지리산,2015-01-02 13:00,74,-6.6,0
지리산,2015-01-02 14:00,78,-5.5,
지리산,2015-01-02 15:00,65,-7.8,
지리산,2015-01-02 16:00,59,-8.9,
지리산,2015-01-02 17:00,49,-11.5,
지리산,2015-01-02 18:00,52,-12,
지리산,2015-01-02 19:00,55,-12,
지리산,2015-01-02 20:00,69,-11,
지리산,2015-01-02 21:00,74,-11.1,
지리산,2015-01-02 22:00,78,-11.2,
지리산,2015-01-02 23:00,78,-11.6,
지리산,2015-01-03 0:00,81,-11.8,
지리산,2015-01-03 1:00,81,-12.4,
지리산,2015-01-03 2:00,82,-12.4,
지리산,2015-01-03 3:00,79,-12.7,
지리산,2015-01-03 4:00,79,-13.3,
지리산,2015-01-03 5:00,80,-13.9,
지리산,2015-01-03 6:00,80,-14.3,
지리산,2015-01-03 7:00,81,-14.2,
지리산,2015-01-03 8:00,81,-14.2,
지리산,2015-01-03 9:00,76,-12.7,
지리산,2015-01-03 10:00,71,-11.3,
지리산,2015-01-03 11:00,68,-10.4,
지리산,2015-01-03 12:00,54,-10.2,
지리산,2015-01-03 13:00,52,-9.2,
지리산,2015-01-03 14:00,51,-7.7,
지리산,2015-01-03 15:00,47,-8.1,
지리산,2015-01-03 16:00,48,-7.6,
지리산,2015-01-03 17:00,49,-7.8,
지리산,2015-01-03 18:00,58,-7.8,
지리산,2015-01-03 19:00,66,-7.3,
지리산,2015-01-03 20:00,72,-6.9,
지리산,2015-01-03 21:00,78,-6.7,
지리산,2015-01-03 22:00,80,-6.4,
지리산,2015-01-03 23:00,75,-6.8,
지리산,2015-01-04 0:00,78,-6.5,
지리산,2015-01-04 1:00,76,-6.3,
지리산,2015-01-04 2:00,76,-6.5,
지리산,2015-01-04 3:00,78,-6.3,
지리산,2015-01-04 4:00,79,-6.5,
지리산,2015-01-04 5:00,80,-6.1,
지리산,2015-01-04 6:00,81,-5.6,
지리산,2015-01-04 7:00,80,-5.4,
지리산,2015-01-04 8:00,80,-5.3,
지리산,2015-01-04 9:00,79,-5.2,
지리산,2015-01-04 10:00,73,-5.1,
지리산,2015-01-04 11:00,66,-4.3,
지리산,2015-01-04 12:00,61,-2.8,
지리산,2015-01-04 13:00,56,-1.8,
지리산,2015-01-04 14:00,55,0,
지리산,2015-01-04 15:00,52,0.3,
지리산,2015-01-04 16:00,51,-0.1,
지리산,2015-01-04 17:00,54,-0.1,
지리산,2015-01-04 18:00,58,-1.8,
지리산,2015-01-04 19:00,75,-1.1,
지리산,2015-01-04 20:00,78,-1.9,
지리산,2015-01-04 21:00,83,-2.1,
지리산,2015-01-04 22:00,86,-2.6,
지리산,2015-01-04 23:00,87,-2.8,
지리산,2015-01-05 0:00,88,-3.7,
지리산,2015-01-05 1:00,89,-4,
지리산,2015-01-05 2:00,89,-4.3,
지리산,2015-01-05 3:00,89,-4.9,
지리산,2015-01-05 4:00,88,-4.8,
지리산,2015-01-05 5:00,90,-5.2,
지리산,2015-01-05 6:00,90,-5.4,
지리산,2015-01-05 7:00,90,-5,
지리산,2015-01-05 8:00,91,-4.9,
지리산,2015-01-05 9:00,92,-4.3,
지리산,2015-01-05 10:00,92,-2,
