,loc,date,Humi,dew,snow
0,°è·æ»ê,2013-01-01 0:00,73.0,-12.8,7.6000000000000005
1,°è·æ»ê,2013-01-01 1:00,73.5,-12.65,7.6000000000000005
2,°è·æ»ê,2013-01-01 2:00,74.5,-12.3,7.6000000000000005
3,°è·æ»ê,2013-01-01 3:00,74.5,-12.55,7.6000000000000005
4,°è·æ»ê,2013-01-01 4:00,75.0,-12.55,7.6000000000000005
5,°è·æ»ê,2013-01-01 5:00,76.5,-12.4,7.6000000000000005
6,°è·æ»ê,2013-01-01 6:00,87.0,-10.55,7.8500000000000005
7,°è·æ»ê,2013-01-01 7:00,89.5,-9.65,8.8
8,°è·æ»ê,2013-01-01 8:00,90.0,-8.95,9.85
9,°è·æ»ê,2013-01-01 8:30,81.0,-9.7,10.1
10,°è·æ»ê,2013-01-01 9:00,85.0,-8.15,11.0
11,°è·æ»ê,2013-01-01 9:30,71.0,-8.6,11.2
12,°è·æ»ê,2013-01-01 10:00,90.5,-6.05,12.600000000000001
13,°è·æ»ê,2013-01-01 11:00,82.0,-5.35,12.6
14,°è·æ»ê,2013-01-01 12:00,76.5,-4.25,12.3
15,°è·æ»ê,2013-01-01 13:00,64.5,-4.699999999999999,11.75
16,°è·æ»ê,2013-01-01 14:00,62.0,-5.55,10.95
17,°è·æ»ê,2013-01-01 15:00,73.0,-4.6499999999999995,10.95
18,°è·æ»ê,2013-01-01 16:00,71.5,-4.95,11.600000000000001
19,°è·æ»ê,2013-01-01 17:00,71.5,-5.15,11.7
20,°è·æ»ê,2013-01-01 18:00,87.0,-3.8,11.85
21,°è·æ»ê,2013-01-01 19:00,90.5,-3.55,12.15
22,°è·æ»ê,2013-01-01 20:00,92.0,-3.25,12.25
23,°è·æ»ê,2013-01-01 21:00,92.5,-3.55,12.4
24,°è·æ»ê,2013-01-01 22:00,90.0,-5.45,12.45
25,°è·æ»ê,2013-01-01 23:00,84.5,-7.1000000000000005,12.5
26,°è·æ»ê,2013-01-02 0:00,76.5,-8.5,13.3
27,°è·æ»ê,2013-01-02 1:00,65.5,-11.85,14.5
28,°è·æ»ê,2013-01-02 2:00,61.5,-12.9,14.600000000000001
29,°è·æ»ê,2013-01-02 3:00,61.5,-13.649999999999999,14.600000000000001
30,°è·æ»ê,2013-01-02 4:00,62.5,-14.75,14.649999999999999
31,°è·æ»ê,2013-01-02 5:00,64.5,-15.399999999999999,14.649999999999999
32,°è·æ»ê,2013-01-02 6:00,61.0,-16.6,14.649999999999999
33,°è·æ»ê,2013-01-02 7:00,53.5,-18.85,14.649999999999999
34,°è·æ»ê,2013-01-02 8:00,54.0,-18.85,14.600000000000001
35,°è·æ»ê,2013-01-02 9:00,47.5,-19.4,14.5
36,°è·æ»ê,2013-01-02 10:00,44.0,-19.5,14.35
37,°è·æ»ê,2013-01-02 11:00,42.5,-19.45,14.0
38,°è·æ»ê,2013-01-02 12:00,43.5,-18.450000000000003,13.8
39,°è·æ»ê,2013-01-02 13:00,43.5,-17.95,13.549999999999999
40,°è·æ»ê,2013-01-02 14:00,44.5,-18.0,13.3
41,°è·æ»ê,2013-01-02 15:00,46.5,-17.9,13.149999999999999
42,°è·æ»ê,2013-01-02 16:00,48.5,-18.1,13.149999999999999
43,°è·æ»ê,2013-01-02 17:00,50.0,-18.45,13.149999999999999
44,°è·æ»ê,2013-01-02 18:00,53.5,-18.6,13.149999999999999
45,°è·æ»ê,2013-01-02 19:00,55.0,-18.950000000000003,13.149999999999999
46,°è·æ»ê,2013-01-02 20:00,57.5,-19.05,13.149999999999999
47,°è·æ»ê,2013-01-02 21:00,59.5,-19.049999999999997,13.149999999999999
48,°è·æ»ê,2013-01-02 22:00,62.5,-19.2,13.149999999999999
49,°è·æ»ê,2013-01-02 23:00,66.5,-18.95,13.149999999999999
50,°è·æ»ê,2013-01-03 0:00,67.0,-19.35,13.149999999999999
51,°è·æ»ê,2013-01-03 1:00,65.0,-19.75,13.149999999999999
52,°è·æ»ê,2013-01-03 2:00,64.5,-19.9,13.149999999999999
53,°è·æ»ê,2013-01-03 3:00,65.5,-20.05,13.149999999999999
54,°è·æ»ê,2013-01-03 4:00,64.5,-20.45,13.149999999999999
55,°è·æ»ê,2013-01-03 5:00,61.5,-21.65,13.149999999999999
56,°è·æ»ê,2013-01-03 6:00,61.5,-21.95,13.149999999999999
57,°è·æ»ê,2013-01-03 7:00,60.5,-22.2,13.149999999999999
58,°è·æ»ê,2013-01-03 8:00,57.0,-22.45,13.149999999999999
59,°è·æ»ê,2013-01-03 9:00,53.5,-21.950000000000003,13.1
60,°è·æ»ê,2013-01-03 10:00,47.0,-21.55,13.05
61,°è·æ»ê,2013-01-03 11:00,39.0,-21.85,12.9
62,°è·æ»ê,2013-01-03 12:00,37.0,-21.6,12.7
63,°è·æ»ê,2013-01-03 13:00,37.0,-20.9,12.5
64,°è·æ»ê,2013-01-03 14:00,40.0,-19.4,12.3
65,°è·æ»ê,2013-01-03 15:00,40.5,-18.95,12.149999999999999
66,°è·æ»ê,2013-01-03 16:00,45.0,-18.0,12.0
67,°è·æ»ê,2013-01-03 17:00,47.5,-18.450000000000003,11.899999999999999
68,°è·æ»ê,2013-01-03 18:00,52.5,-18.25,11.899999999999999
69,°è·æ»ê,2013-01-03 19:00,55.5,-18.05,11.899999999999999
70,°è·æ»ê,2013-01-03 20:00,59.5,-18.0,11.899999999999999
71,°è·æ»ê,2013-01-03 21:00,60.5,-18.35,11.899999999999999
72,°è·æ»ê,2013-01-03 22:00,64.0,-18.2,11.899999999999999
73,°è·æ»ê,2013-01-03 23:00,62.0,-18.7,11.899999999999999
74,°è·æ»ê,2013-01-04 0:00,64.0,-18.75,11.899999999999999
75,°è·æ»ê,2013-01-04 1:00,63.5,-19.2,11.899999999999999
76,°è·æ»ê,2013-01-04 2:00,64.5,-19.200000000000003,11.899999999999999
77,°è·æ»ê,2013-01-04 3:00,69.5,-18.65,11.899999999999999
78,°è·æ»ê,2013-01-04 4:00,71.0,-18.9,11.899999999999999
79,°è·æ»ê,2013-01-04 5:00,73.5,-18.75,11.899999999999999
80,°è·æ»ê,2013-01-04 6:00,71.5,-19.2,11.899999999999999
81,°è·æ»ê,2013-01-04 7:00,71.0,-19.35,11.899999999999999
82,°è·æ»ê,2013-01-04 8:00,66.0,-19.700000000000003,11.899999999999999
83,°è·æ»ê,2013-01-04 9:00,58.5,-19.7,11.899999999999999
84,°è·æ»ê,2013-01-04 10:00,50.5,-19.45,11.75
85,°è·æ»ê,2013-01-04 11:00,43.5,-18.1,11.5
86,°è·æ»ê,2013-01-04 12:00,37.5,-19.25,11.3
87,°è·æ»ê,2013-01-04 13:00,36.5,-18.65,11.0
