loc,date,Humi,dew,snow
ÆÈ°ø»ê,2013-01-01 0:00,83,-12.5,
ÆÈ°ø»ê,2013-01-01 1:00,84,-13.7,
ÆÈ°ø»ê,2013-01-01 2:00,85,-14.1,
ÆÈ°ø»ê,2013-01-01 3:00,84,-14.9,
ÆÈ°ø»ê,2013-01-01 4:00,85,-15,
ÆÈ°ø»ê,2013-01-01 5:00,84,-15,
ÆÈ°ø»ê,2013-01-01 6:00,85,-14.7,
ÆÈ°ø»ê,2013-01-01 7:00,83,-15.8,
ÆÈ°ø»ê,2013-01-01 8:00,83,-15.1,
ÆÈ°ø»ê,2013-01-01 9:00,83,-13.1,
ÆÈ°ø»ê,2013-01-01 10:00,72,-11.1,
ÆÈ°ø»ê,2013-01-01 11:00,67,-9,
ÆÈ°ø»ê,2013-01-01 12:00,60,-7.9,
ÆÈ°ø»ê,2013-01-01 13:00,57,-6.4,
ÆÈ°ø»ê,2013-01-01 14:00,58,-4.5,
ÆÈ°ø»ê,2013-01-01 15:00,62,-3.9,
ÆÈ°ø»ê,2013-01-01 16:00,69,-2.8,
ÆÈ°ø»ê,2013-01-01 17:00,69,-3.3,
ÆÈ°ø»ê,2013-01-01 18:00,76,-3.4,
ÆÈ°ø»ê,2013-01-01 19:00,73,-4.9,
ÆÈ°ø»ê,2013-01-01 20:00,83,-5.1,
ÆÈ°ø»ê,2013-01-01 21:00,84,-5,
ÆÈ°ø»ê,2013-01-01 22:00,89,-6.3,
ÆÈ°ø»ê,2013-01-01 23:00,90,-6.9,
ÆÈ°ø»ê,2013-01-02 0:00,91,-7.2,
ÆÈ°ø»ê,2013-01-02 1:00,89,-7.8,
ÆÈ°ø»ê,2013-01-02 2:00,89,-7.6,
ÆÈ°ø»ê,2013-01-02 3:00,88,-6.4,
ÆÈ°ø»ê,2013-01-02 4:00,84,-5.7,
ÆÈ°ø»ê,2013-01-02 5:00,78,-4,
ÆÈ°ø»ê,2013-01-02 6:00,65,-8.2,
ÆÈ°ø»ê,2013-01-02 7:00,59,-11.3,
ÆÈ°ø»ê,2013-01-02 8:00,48,-15.1,
ÆÈ°ø»ê,2013-01-02 9:00,43,-16.2,
ÆÈ°ø»ê,2013-01-02 10:00,38,-17.2,
ÆÈ°ø»ê,2013-01-02 11:00,34,-18.1,
ÆÈ°ø»ê,2013-01-02 12:00,33,-17.7,
ÆÈ°ø»ê,2013-01-02 13:00,37,-15.5,
ÆÈ°ø»ê,2013-01-02 14:00,37,-15.5,
ÆÈ°ø»ê,2013-01-02 15:00,38,-15.5,
ÆÈ°ø»ê,2013-01-02 16:00,39,-16,
ÆÈ°ø»ê,2013-01-02 17:00,36,-17.4,
ÆÈ°ø»ê,2013-01-02 18:00,38,-17.6,
ÆÈ°ø»ê,2013-01-02 19:00,42,-17.3,
ÆÈ°ø»ê,2013-01-02 20:00,45,-17.4,
ÆÈ°ø»ê,2013-01-02 21:00,39,-19.3,
ÆÈ°ø»ê,2013-01-02 22:00,43,-19.2,
ÆÈ°ø»ê,2013-01-02 23:00,45,-19,
ÆÈ°ø»ê,2013-01-03 0:00,46,-18.9,
ÆÈ°ø»ê,2013-01-03 1:00,48,-18.6,
ÆÈ°ø»ê,2013-01-03 2:00,52,-17.6,
ÆÈ°ø»ê,2013-01-03 3:00,55,-17.3,
ÆÈ°ø»ê,2013-01-03 4:00,56,-17.6,
ÆÈ°ø»ê,2013-01-03 5:00,55,-18.2,
ÆÈ°ø»ê,2013-01-03 6:00,52,-19.1,
ÆÈ°ø»ê,2013-01-03 7:00,53,-19.4,
ÆÈ°ø»ê,2013-01-03 8:00,50,-20,
ÆÈ°ø»ê,2013-01-03 9:00,46,-20.1,
ÆÈ°ø»ê,2013-01-03 10:00,38,-21.7,
ÆÈ°ø»ê,2013-01-03 11:00,35,-21.5,
ÆÈ°ø»ê,2013-01-03 12:00,33,-21.4,
ÆÈ°ø»ê,2013-01-03 13:00,30,-21.5,
ÆÈ°ø»ê,2013-01-03 14:00,29,-21.9,
ÆÈ°ø»ê,2013-01-03 15:00,28,-21.7,
ÆÈ°ø»ê,2013-01-03 16:00,28,-22.2,
ÆÈ°ø»ê,2013-01-03 17:00,29,-22.2,
ÆÈ°ø»ê,2013-01-03 18:00,32,-21.5,
ÆÈ°ø»ê,2013-01-03 19:00,34,-21.3,
ÆÈ°ø»ê,2013-01-03 20:00,36,-21,
ÆÈ°ø»ê,2013-01-03 21:00,39,-20.5,
ÆÈ°ø»ê,2013-01-03 22:00,41,-19.9,
ÆÈ°ø»ê,2013-01-03 23:00,47,-19,
ÆÈ°ø»ê,2013-01-04 0:00,49,-18.8,
ÆÈ°ø»ê,2013-01-04 1:00,53,-18.5,
ÆÈ°ø»ê,2013-01-04 2:00,55,-18.7,
ÆÈ°ø»ê,2013-01-04 3:00,59,-17.9,
ÆÈ°ø»ê,2013-01-04 4:00,61,-18.2,
ÆÈ°ø»ê,2013-01-04 5:00,65,-18.3,
ÆÈ°ø»ê,2013-01-04 6:00,68,-18.3,
ÆÈ°ø»ê,2013-01-04 7:00,66,-18.4,
ÆÈ°ø»ê,2013-01-04 8:00,70,-18.2,
ÆÈ°ø»ê,2013-01-04 9:00,49,-17.7,
ÆÈ°ø»ê,2013-01-04 10:00,42,-18.6,
ÆÈ°ø»ê,2013-01-04 11:00,36,-19.2,
ÆÈ°ø»ê,2013-01-04 12:00,33,-19,
ÆÈ°ø»ê,2013-01-04 13:00,30,-18.9,
ÆÈ°ø»ê,2013-01-04 14:00,30,-17.7,
ÆÈ°ø»ê,2013-01-04 15:00,29,-17.8,
ÆÈ°ø»ê,2013-01-04 16:00,28,-18.9,
ÆÈ°ø»ê,2013-01-04 17:00,30,-18.8,
ÆÈ°ø»ê,2013-01-04 18:00,33,-19.1,
ÆÈ°ø»ê,2013-01-04 19:00,44,-18.3,
ÆÈ°ø»ê,2013-01-04 20:00,41,-18.8,
ÆÈ°ø»ê,2013-01-04 21:00,50,-18.1,
ÆÈ°ø»ê,2013-01-04 22:00,63,-17.4,
ÆÈ°ø»ê,2013-01-04 23:00,70,-17.4,
ÆÈ°ø»ê,2013-01-05 0:00,73,-17.2,
ÆÈ°ø»ê,2013-01-05 1:00,78,-17.3,
ÆÈ°ø»ê,2013-01-05 2:00,76,-17.7,
ÆÈ°ø»ê,2013-01-05 3:00,80,-17.9,
ÆÈ°ø»ê,2013-01-05 4:00,80,-17.7,
ÆÈ°ø»ê,2013-01-05 5:00,80,-18.2,
ÆÈ°ø»ê,2013-01-05 6:00,80,-18,
ÆÈ°ø»ê,2013-01-05 7:00,80,-17.2,
ÆÈ°ø»ê,2013-01-05 8:00,78,-17.1,
ÆÈ°ø»ê,2013-01-05 9:00,61,-15.9,
ÆÈ°ø»ê,2013-01-05 10:00,46,-16.6,
ÆÈ°ø»ê,2013-01-05 11:00,38,-16.8,
ÆÈ°ø»ê,2013-01-05 12:00,32,-15.2,
ÆÈ°ø»ê,2013-01-05 13:00,38,-13.2,
ÆÈ°ø»ê,2013-01-05 14:00,38,-12.3,
ÆÈ°ø»ê,2013-01-05 15:00,38,-12.5,
ÆÈ°ø»ê,2013-01-05 16:00,40,-11.8,
ÆÈ°ø»ê,2013-01-05 17:00,44,-11.1,
ÆÈ°ø»ê,2013-01-05 18:00,48,-11,
ÆÈ°ø»ê,2013-01-05 19:00,53,-10.4,
ÆÈ°ø»ê,2013-01-05 20:00,56,-9.9,
ÆÈ°ø»ê,2013-01-05 21:00,56,-10.3,
ÆÈ°ø»ê,2013-01-05 22:00,60,-10.6,
ÆÈ°ø»ê,2013-01-05 23:00,59,-10.4,
ÆÈ°ø»ê,2013-01-06 0:00,60,-10.8,
ÆÈ°ø»ê,2013-01-06 1:00,60,-10.9,
ÆÈ°ø»ê,2013-01-06 2:00,67,-11.3,
ÆÈ°ø»ê,2013-01-06 3:00,74,-11.1,
ÆÈ°ø»ê,2013-01-06 4:00,74,-10.3,
ÆÈ°ø»ê,2013-01-06 5:00,76,-10.7,
ÆÈ°ø»ê,2013-01-06 6:00,72,-10.3,
ÆÈ°ø»ê,2013-01-06 7:00,76,-10.4,
ÆÈ°ø»ê,2013-01-06 8:00,71,-10.2,
ÆÈ°ø»ê,2013-01-06 9:00,69,-9.2,
ÆÈ°ø»ê,2013-01-06 10:00,60,-9.6,
ÆÈ°ø»ê,2013-01-06 11:00,41,-11.7,
ÆÈ°ø»ê,2013-01-06 12:00,40,-12,
ÆÈ°ø»ê,2013-01-06 13:00,32,-13.1,
ÆÈ°ø»ê,2013-01-06 14:00,36,-11.9,
ÆÈ°ø»ê,2013-01-06 15:00,32,-12.7,
ÆÈ°ø»ê,2013-01-06 16:00,34,-12.5,
ÆÈ°ø»ê,2013-01-06 17:00,34,-13.6,
ÆÈ°ø»ê,2013-01-06 18:00,34,-14.2,
ÆÈ°ø»ê,2013-01-06 19:00,44,-13.2,
ÆÈ°ø»ê,2013-01-06 20:00,37,-15.4,
ÆÈ°ø»ê,2013-01-06 21:00,36,-15.9,
ÆÈ°ø»ê,2013-01-06 22:00,36,-16.3,
ÆÈ°ø»ê,2013-01-06 23:00,35,-17,
ÆÈ°ø»ê,2013-01-07 0:00,38,-16.7,
ÆÈ°ø»ê,2013-01-07 1:00,53,-15.3,
ÆÈ°ø»ê,2013-01-07 2:00,58,-14.2,
ÆÈ°ø»ê,2013-01-07 3:00,51,-15.5,
ÆÈ°ø»ê,2013-01-07 4:00,54,-15.6,
ÆÈ°ø»ê,2013-01-07 5:00,68,-15.3,
ÆÈ°ø»ê,2013-01-07 6:00,70,-14.9,
ÆÈ°ø»ê,2013-01-07 7:00,48,-16.4,
ÆÈ°ø»ê,2013-01-07 8:00,68,-14.1,
ÆÈ°ø»ê,2013-01-07 9:00,50,-14.4,
ÆÈ°ø»ê,2013-01-07 10:00,32,-17.4,
ÆÈ°ø»ê,2013-01-07 11:00,22,-18.6,
ÆÈ°ø»ê,2013-01-07 12:00,24,-17.2,
ÆÈ°ø»ê,2013-01-07 13:00,22,-17.4,
ÆÈ°ø»ê,2013-01-07 14:00,20,-17.9,
ÆÈ°ø»ê,2013-01-07 15:00,22,-16.6,
