,date,Humi.x,dew.x,snow.x,Humi.y,dew.y,snow.y,Humi,dew,snow
0,2013-01-01 0:00,83.0,-12.5,,57.0,-11.8,,70.0,-12.15,
1,2013-01-01 1:00,84.0,-13.7,,58.0,-11.6,,71.0,-12.649999999999999,
2,2013-01-01 10:00,72.0,-11.1,,57.0,-10.4,,64.5,-10.75,
3,2013-01-01 11:00,67.0,-9.0,,50.0,-9.6,,58.5,-9.3,
4,2013-01-01 12:00,60.0,-7.9,,44.0,-8.5,,52.0,-8.2,
5,2013-01-01 13:00,57.0,-6.4,,44.0,-6.9,,50.5,-6.65,
6,2013-01-01 14:00,58.0,-4.5,,46.0,-5.5,,52.0,-5.0,
7,2013-01-01 15:00,62.0,-3.9,,49.0,-4.9,,55.5,-4.4,
8,2013-01-01 16:00,69.0,-2.8,,55.0,-4.2,,62.0,-3.5,
9,2013-01-01 17:00,69.0,-3.3,,65.0,-3.1,,67.0,-3.2,
10,2013-01-01 18:00,76.0,-3.4,,68.0,-3.0,,72.0,-3.2,
11,2013-01-01 19:00,73.0,-4.9,,71.0,-3.1,,72.0,-4.0,
12,2013-01-01 2:00,85.0,-14.1,,60.0,-11.3,,72.5,-12.7,
13,2013-01-01 20:00,83.0,-5.1,,70.0,-4.2,,76.5,-4.65,
14,2013-01-01 21:00,84.0,-5.0,,67.0,-5.1,,75.5,-5.05,
15,2013-01-01 22:00,89.0,-6.3,,69.0,-5.2,,79.0,-5.75,
16,2013-01-01 23:00,90.0,-6.9,,68.0,-5.6,,79.0,-6.25,
17,2013-01-01 3:00,84.0,-14.9,,62.0,-11.2,,73.0,-13.05,
18,2013-01-01 4:00,85.0,-15.0,,65.0,-11.0,,75.0,-13.0,
19,2013-01-01 5:00,84.0,-15.0,,67.0,-10.9,,75.5,-12.95,
20,2013-01-01 6:00,85.0,-14.7,,69.0,-10.8,,77.0,-12.75,
21,2013-01-01 7:00,83.0,-15.8,,67.0,-11.3,,75.0,-13.55,
22,2013-01-01 8:00,83.0,-15.1,,68.0,-11.3,,75.5,-13.2,
23,2013-01-01 9:00,83.0,-13.1,,65.0,-10.9,,74.0,-12.0,
24,2013-01-02 0:00,91.0,-7.2,,73.0,-5.2,,82.0,-6.2,
25,2013-01-02 1:00,89.0,-7.8,,71.0,-5.7,,80.0,-6.75,
26,2013-01-02 10:00,38.0,-17.2,,23.0,-21.3,,30.5,-19.25,
27,2013-01-02 11:00,34.0,-18.1,,20.0,-22.5,,27.0,-20.3,
28,2013-01-02 12:00,33.0,-17.7,,18.0,-23.3,,25.5,-20.5,
29,2013-01-02 13:00,37.0,-15.5,,22.0,-20.2,,29.5,-17.85,
30,2013-01-02 14:00,37.0,-15.5,,24.0,-18.9,,30.5,-17.2,
31,2013-01-02 15:00,38.0,-15.5,,25.0,-18.4,,31.5,-16.95,
32,2013-01-02 16:00,39.0,-16.0,,25.0,-18.9,,32.0,-17.45,
33,2013-01-02 17:00,36.0,-17.4,,23.0,-20.8,,29.5,-19.1,
34,2013-01-02 18:00,38.0,-17.6,,24.0,-21.3,,31.0,-19.450000000000003,
35,2013-01-02 19:00,42.0,-17.3,,25.0,-21.4,,33.5,-19.35,
36,2013-01-02 2:00,89.0,-7.6,,75.0,-5.6,,82.0,-6.6,
37,2013-01-02 20:00,45.0,-17.4,,23.0,-23.0,,34.0,-20.2,
38,2013-01-02 21:00,39.0,-19.3,,25.0,-22.9,,32.0,-21.1,
39,2013-01-02 22:00,43.0,-19.2,,29.0,-21.8,,36.0,-20.5,
40,2013-01-02 23:00,45.0,-19.0,,30.0,-21.8,,37.5,-20.4,
41,2013-01-02 3:00,88.0,-6.4,,62.0,-7.2,,75.0,-6.800000000000001,
42,2013-01-02 4:00,84.0,-5.7,,60.0,-7.3,,72.0,-6.5,
43,2013-01-02 5:00,78.0,-4.0,,69.0,-4.3,,73.5,-4.15,
44,2013-01-02 6:00,65.0,-8.2,,62.0,-5.5,,63.5,-6.85,
45,2013-01-02 7:00,59.0,-11.3,,51.0,-9.4,,55.0,-10.350000000000001,
46,2013-01-02 8:00,48.0,-15.1,,43.0,-13.3,,45.5,-14.2,
47,2013-01-02 9:00,43.0,-16.2,,37.0,-15.8,,40.0,-16.0,
48,2013-01-03 0:00,46.0,-18.9,,33.0,-21.1,,39.5,-20.0,
49,2013-01-03 1:00,48.0,-18.6,,36.0,-20.5,,42.0,-19.55,
50,2013-01-03 10:00,38.0,-21.7,,29.0,-22.6,,33.5,-22.15,
51,2013-01-03 11:00,35.0,-21.5,,28.0,-22.0,,31.5,-21.75,
52,2013-01-03 12:00,33.0,-21.4,,24.0,-22.2,,28.5,-21.799999999999997,
53,2013-01-03 13:00,30.0,-21.5,,21.0,-22.9,,25.5,-22.2,
54,2013-01-03 14:00,29.0,-21.9,,19.0,-23.6,,24.0,-22.75,
55,2013-01-03 15:00,28.0,-21.7,,19.0,-23.1,,23.5,-22.4,
56,2013-01-03 16:00,28.0,-22.2,,16.0,-25.2,,22.0,-23.7,
57,2013-01-03 17:00,29.0,-22.2,,21.0,-23.7,,25.0,-22.95,
58,2013-01-03 18:00,32.0,-21.5,,24.0,-23.1,,28.0,-22.3,
59,2013-01-03 19:00,34.0,-21.3,,25.0,-23.2,,29.5,-22.25,
60,2013-01-03 2:00,52.0,-17.6,,37.0,-20.4,,44.5,-19.0,
61,2013-01-03 20:00,36.0,-21.0,,27.0,-22.8,,31.5,-21.9,
62,2013-01-03 21:00,39.0,-20.5,,26.0,-23.5,,32.5,-22.0,
63,2013-01-03 22:00,41.0,-19.9,,28.0,-23.1,,34.5,-21.5,
64,2013-01-03 23:00,47.0,-19.0,,31.0,-22.2,,39.0,-20.6,
65,2013-01-03 3:00,55.0,-17.3,,36.0,-20.7,,45.5,-19.0,
66,2013-01-03 4:00,56.0,-17.6,,39.0,-20.0,,47.5,-18.8,
67,2013-01-03 5:00,55.0,-18.2,,42.0,-19.5,,48.5,-18.85,
68,2013-01-03 6:00,52.0,-19.1,,43.0,-19.7,,47.5,-19.4,
69,2013-01-03 7:00,53.0,-19.4,,41.0,-20.5,,47.0,-19.95,
70,2013-01-03 8:00,50.0,-20.0,,38.0,-21.6,,44.0,-20.8,
71,2013-01-03 9:00,46.0,-20.1,,35.0,-21.7,,40.5,-20.9,
72,2013-01-04 0:00,49.0,-18.8,,35.0,-21.3,,42.0,-20.05,
73,2013-01-04 1:00,53.0,-18.5,,38.0,-20.5,,45.5,-19.5,
74,2013-01-04 10:00,42.0,-18.6,,31.0,-21.1,,36.5,-19.85,
75,2013-01-04 11:00,36.0,-19.2,,27.0,-20.9,,31.5,-20.049999999999997,
76,2013-01-04 12:00,33.0,-19.0,,23.0,-20.9,,28.0,-19.95,
77,2013-01-04 13:00,30.0,-18.9,,21.0,-20.8,,25.5,-19.85,
78,2013-01-04 14:00,30.0,-17.7,,21.0,-19.9,,25.5,-18.799999999999997,
79,2013-01-04 15:00,29.0,-17.8,,21.0,-19.4,,25.0,-18.6,
80,2013-01-04 16:00,28.0,-18.9,,22.0,-19.2,,25.0,-19.049999999999997,
81,2013-01-04 17:00,30.0,-18.8,,24.0,-19.4,,27.0,-19.1,
82,2013-01-04 18:00,33.0,-19.1,,25.0,-19.9,,29.0,-19.5,
83,2013-01-04 19:00,44.0,-18.3,,28.0,-19.3,,36.0,-18.8,
84,2013-01-04 2:00,55.0,-18.7,,39.0,-20.5,,47.0,-19.6,
85,2013-01-04 20:00,41.0,-18.8,,29.0,-19.6,,35.0,-19.200000000000003,
86,2013-01-04 21:00,50.0,-18.1,,29.0,-20.1,,39.5,-19.1,
87,2013-01-04 22:00,63.0,-17.4,,29.0,-20.2,,46.0,-18.799999999999997,
88,2013-01-04 23:00,70.0,-17.4,,30.0,-20.1,,50.0,-18.75,
89,2013-01-04 3:00,59.0,-17.9,,42.0,-19.9,,50.5,-18.9,
