,date,Humi.x,dew.x,snow.x,Humi.y,dew.y,snow.y,Humi,dew,snow
0,2013-01-01 0:00,56.0,-15.5,6.4,56.0,-15.5,6.4,56.0,-15.5,6.4
1,2013-01-01 1:00,57.0,-15.5,6.4,57.0,-15.5,6.4,57.0,-15.5,6.4
2,2013-01-01 10:00,74.0,-9.4,9.2,74.0,-9.4,9.2,74.0,-9.4,9.2
3,2013-01-01 11:00,71.0,-8.6,9.1,71.0,-8.6,9.1,71.0,-8.6,9.1
4,2013-01-01 12:00,83.0,-6.6,9.9,83.0,-6.6,9.9,83.0,-6.6,9.9
5,2013-01-01 13:00,71.0,-6.4,9.7,71.0,-6.4,9.7,71.0,-6.4,9.7
6,2013-01-01 14:00,65.0,-6.3,9.6,65.0,-6.3,9.6,65.0,-6.3,9.6
7,2013-01-01 15:00,56.0,-8.2,9.5,56.0,-8.2,9.5,56.0,-8.2,9.5
8,2013-01-01 16:00,55.0,-8.5,9.4,55.0,-8.5,9.4,55.0,-8.5,9.4
9,2013-01-01 17:00,56.0,-8.7,9.4,56.0,-8.7,9.4,56.0,-8.7,9.4
10,2013-01-01 18:00,59.0,-8.6,9.4,59.0,-8.6,9.4,59.0,-8.6,9.4
11,2013-01-01 19:00,60.0,-8.3,9.4,60.0,-8.3,9.4,60.0,-8.3,9.4
12,2013-01-01 2:00,60.0,-14.7,6.4,60.0,-14.7,6.4,60.0,-14.7,6.4
13,2013-01-01 20:00,84.0,-4.8,9.7,84.0,-4.8,9.7,84.0,-4.8,9.7
14,2013-01-01 21:00,87.0,-4.6,10.3,87.0,-4.6,10.3,87.0,-4.6,10.3
15,2013-01-01 22:00,89.0,-3.9,10.5,89.0,-3.9,10.5,89.0,-3.9,10.5
16,2013-01-01 23:00,87.0,-4.5,10.8,87.0,-4.5,10.8,87.0,-4.5,10.8
17,2013-01-01 3:00,58.0,-14.9,6.4,58.0,-14.9,6.4,58.0,-14.9,6.4
18,2013-01-01 4:00,58.0,-15.0,6.4,58.0,-15.0,6.4,58.0,-15.0,6.4
19,2013-01-01 5:00,61.0,-14.4,6.4,61.0,-14.4,6.4,61.0,-14.4,6.4
20,2013-01-01 6:00,81.0,-11.2,6.9,81.0,-11.2,6.9,81.0,-11.2,6.9
21,2013-01-01 7:00,85.0,-10.3,8.0,85.0,-10.3,8.0,85.0,-10.3,8.0
22,2013-01-01 8:00,84.0,-10.1,9.2,84.0,-10.1,9.2,84.0,-10.1,9.2
23,2013-01-01 9:00,81.0,-9.7,9.2,81.0,-9.7,9.2,81.0,-9.7,9.2
24,2013-01-02 0:00,83.0,-7.2,10.9,83.0,-7.2,10.9,83.0,-7.2,10.9
25,2013-01-02 1:00,71.0,-10.8,10.9,71.0,-10.8,10.9,71.0,-10.8,10.9
26,2013-01-02 10:00,35.0,-24.2,10.9,35.0,-24.2,10.9,35.0,-24.2,10.9
27,2013-01-02 11:00,38.0,-23.2,10.8,38.0,-23.2,10.8,38.0,-23.2,10.8
28,2013-01-02 12:00,34.0,-23.4,10.7,34.0,-23.4,10.7,34.0,-23.4,10.7
29,2013-01-02 13:00,33.0,-23.8,10.5,33.0,-23.8,10.5,33.0,-23.8,10.5
30,2013-01-02 14:00,35.0,-22.6,10.4,35.0,-22.6,10.4,35.0,-22.6,10.4
31,2013-01-02 15:00,36.0,-21.8,10.2,36.0,-21.8,10.2,36.0,-21.8,10.2
32,2013-01-02 16:00,36.0,-22.1,10.1,36.0,-22.1,10.1,36.0,-22.1,10.1
33,2013-01-02 17:00,38.0,-22.2,10.1,38.0,-22.2,10.1,38.0,-22.2,10.1
34,2013-01-02 18:00,42.0,-21.8,10.1,42.0,-21.8,10.1,42.0,-21.8,10.1
35,2013-01-02 19:00,44.0,-21.8,10.1,44.0,-21.8,10.1,44.0,-21.8,10.1
36,2013-01-02 2:00,53.0,-15.7,10.9,53.0,-15.7,10.9,53.0,-15.7,10.9
37,2013-01-02 20:00,48.0,-21.4,10.1,48.0,-21.4,10.1,48.0,-21.4,10.1
38,2013-01-02 21:00,49.0,-21.6,10.1,49.0,-21.6,10.1,49.0,-21.6,10.1
39,2013-01-02 22:00,50.0,-22.0,10.1,50.0,-22.0,10.1,50.0,-22.0,10.1
40,2013-01-02 23:00,50.0,-22.4,10.1,50.0,-22.4,10.1,50.0,-22.4,10.1
41,2013-01-02 3:00,31.0,-22.9,10.9,31.0,-22.9,10.9,31.0,-22.9,10.9
42,2013-01-02 4:00,34.0,-23.0,10.9,34.0,-23.0,10.9,34.0,-23.0,10.9
43,2013-01-02 5:00,43.0,-20.9,10.9,43.0,-20.9,10.9,43.0,-20.9,10.9
44,2013-01-02 6:00,46.0,-21.2,10.9,46.0,-21.2,10.9,46.0,-21.2,10.9
45,2013-01-02 7:00,46.0,-21.9,10.9,46.0,-21.9,10.9,46.0,-21.9,10.9
46,2013-01-02 8:00,44.0,-22.7,10.9,44.0,-22.7,10.9,44.0,-22.7,10.9
47,2013-01-02 9:00,36.0,-24.7,10.9,36.0,-24.7,10.9,36.0,-24.7,10.9
48,2013-01-03 0:00,52.0,-22.7,10.1,52.0,-22.7,10.1,52.0,-22.7,10.1
49,2013-01-03 1:00,53.0,-23.0,10.1,53.0,-23.0,10.1,53.0,-23.0,10.1
50,2013-01-03 10:00,37.0,-25.4,10.1,37.0,-25.4,10.1,37.0,-25.4,10.1
51,2013-01-03 11:00,33.0,-25.8,10.0,33.0,-25.8,10.0,33.0,-25.8,10.0
52,2013-01-03 12:00,31.0,-25.5,9.9,31.0,-25.5,9.9,31.0,-25.5,9.9
