,date,Humi.x,dew.x,snow.x,Humi.y,dew.y,snow.y
0,2013.1.1 0:00,56,-15.5,6.4,73,-12.8,7.6
1,2013.1.1 1:00,57,-15.5,6.4,73.5,-12.65,7.6
2,2013.1.1 10:00,74,-9.4,9.2,86,-7.45,12.25
3,2013.1.1 11:00,71,-8.6,9.1,82,-6.45,12.3
4,2013.1.1 12:00,83,-6.6,9.9,85.5,-4.4,12.45
5,2013.1.1 13:00,71,-6.4,9.7,72,-3.8,11.85
6,2013.1.1 14:00,65,-6.3,9.6,67,-4.45,11.05
7,2013.1.1 15:00,56,-8.2,9.5,73,-4.4,11
8,2013.1.1 16:00,55,-8.5,9.4,69.5,-4.9,11.6
9,2013.1.1 17:00,56,-8.7,9.4,69.5,-5.35,11.7
10,2013.1.1 18:00,59,-8.6,9.4,74.5,-5.7,11.7
11,2013.1.1 19:00,60,-8.3,9.4,77,-5.4,11.7
12,2013.1.1 2:00,60,-14.7,6.4,74.5,-12.3,7.6
13,2013.1.1 20:00,84,-4.8,9.7,89.5,-3.7,11.85
14,2013.1.1 21:00,87,-4.6,10.3,92.5,-3.6,12.15
15,2013.1.1 22:00,89,-3.9,10.5,93,-3.8,12.25
16,2013.1.1 23:00,87,-4.5,10.8,92.5,-3.95,12.45
17,2013.1.1 3:00,58,-14.9,6.4,74.5,-12.55,7.6
18,2013.1.1 4:00,58,-15,6.4,75,-12.55,7.6
19,2013.1.1 5:00,61,-14.4,6.4,76.5,-12.4,7.6
20,2013.1.1 6:00,81,-11.2,6.9,87,-10.55,7.85
21,2013.1.1 7:00,85,-10.3,8,89.5,-9.65,8.8
22,2013.1.1 8:00,84,-10.1,9.2,90,-8.95,9.85
23,2013.1.1 9:00,81,-9.7,9.2,88.5,-8.3,11
24,2013.1.2 0:00,83,-7.2,10.9,91.5,-4.25,13.3
25,2013.1.2 1:00,71,-10.8,10.9,85.5,-5.8,14.5
26,2013.1.2 10:00,35,-24.2,10.9,44.5,-19.9,14.45
27,2013.1.2 11:00,38,-23.2,10.8,45,-19.15,14.15
28,2013.1.2 12:00,34,-23.4,10.7,43,-18.85,13.95
29,2013.1.2 13:00,33,-23.8,10.5,42,-18.95,13.7
30,2013.1.2 14:00,35,-22.6,10.4,44,-18.25,13.45
31,2013.1.2 15:00,36,-21.8,10.2,45.5,-17.7,13.2
32,2013.1.2 16:00,36,-22.1,10.1,45.5,-18.25,13.15
33,2013.1.2 17:00,38,-22.2,10.1,47,-18.65,13.15
34,2013.1.2 18:00,42,-21.8,10.1,50.5,-18.8,13.15
35,2013.1.2 19:00,44,-21.8,10.1,52.5,-19.05,13.15
36,2013.1.2 2:00,53,-15.7,10.9,71,-9.25,14.6
37,2013.1.2 20:00,48,-21.4,10.1,56.5,-18.75,13.15
38,2013.1.2 21:00,49,-21.6,10.1,59,-18.65,13.15
39,2013.1.2 22:00,50,-22,10.1,61.5,-18.85,13.15
40,2013.1.2 23:00,50,-22.4,10.1,65,-18.65,13.15
41,2013.1.2 3:00,31,-22.9,10.9,55.5,-14.65,14.6
42,2013.1.2 4:00,34,-23,10.9,56.5,-15.65,14.65
43,2013.1.2 5:00,43,-20.9,10.9,63,-14.9,14.65
44,2013.1.2 6:00,46,-21.2,10.9,62,-15.85,14.65
45,2013.1.2 7:00,46,-21.9,10.9,58.5,-17.45,14.65
46,2013.1.2 8:00,44,-22.7,10.9,58.5,-18.1,14.6
47,2013.1.2 9:00,36,-24.7,10.9,46.5,-20.15,14.55
48,2013.1.3 0:00,52,-22.7,10.1,66.5,-19.05,13.15
49,2013.1.3 1:00,53,-23,10.1,66.5,-19.25,13.15
50,2013.1.3 10:00,37,-25.4,10.1,50,-21.5,13.15
51,2013.1.3 11:00,33,-25.8,10,39.5,-22.5,13
52,2013.1.3 12:00,31,-25.5,9.9,36,-22.6,12.85
53,2013.1.3 13:00,32,-24.5,9.8,37,-21.5,12.7
54,2013.1.3 14:00,33,-23.5,9.6,39,-19.95,12.5
55,2013.1.3 15:00,32,-23.3,9.4,37.5,-19.85,12.25
56,2013.1.3 16:00,35,-22.4,9.2,41.5,-18.65,12
57,2013.1.3 17:00,38,-21.5,9.2,45.5,-18.4,11.9
58,2013.1.3 18:00,42,-21.1,9.2,51.5,-17.95,11.9
59,2013.1.3 19:00,42,-21.6,9.2,53.5,-18,11.9
60,2013.1.3 2:00,53,-23.3,10.1,67,-19.3,13.15
61,2013.1.3 20:00,44,-21.7,9.2,58,-17.95,11.9
62,2013.1.3 21:00,46,-21.7,9.2,60.5,-18,11.9
63,2013.1.3 22:00,47,-21.8,9.2,62.5,-18.2,11.9
64,2013.1.3 23:00,46,-22.4,9.2,62,-18.55,11.9
65,2013.1.3 3:00,50,-24,10.1,67.5,-19.5,13.15
66,2013.1.3 4:00,48,-24.5,10.1,64,-20.45,13.15
67,2013.1.3 5:00,46,-25.1,10.1,61.5,-21.6,13.15
68,2013.1.3 6:00,49,-24.5,10.1,63,-21.7,13.15
69,2013.1.3 7:00,46,-25.2,10.1,62.5,-22.1,13.15
70,2013.1.3 8:00,46,-25,10.1,61.5,-22.25,13.15
71,2013.1.3 9:00,42,-25.4,10.1,58,-21.75,13.15
72,2013.1.4 0:00,50,-21.8,9.2,65.5,-18.3,11.9
73,2013.1.4 1:00,46,-22.7,9.2,62,-19.3,11.9
74,2013.1.4 10:00,45,-21.3,9.2,59,-18.6,11.85
75,2013.1.4 11:00,32,-23,9.2,42.5,-19.75,11.8
76,2013.1.4 12:00,28,-23,9,37,-20.05,11.65
77,2013.1.4 13:00,34,-19.7,8.6,37,-18.45,11.35
78,2013.1.4 14:00,29,-21.4,8.3,35.5,-18.55,11.1
79,2013.1.4 15:00,33,-20.1,7.9,36,-18.2,10.8
80,2013.1.4 16:00,31,-21,7.6,35.5,-18.5,10.55
81,2013.1.4 17:00,33,-21.2,7.5,38.5,-18.5,10.45
82,2013.1.4 18:00,34,-21.8,7.5,41,-18.8,10.45
83,2013.1.4 19:00,37,-21.3,7.5,47,-17.95,10.45
84,2013.1.4 2:00,47,-22.7,9.2,63,-19.4,11.9
85,2013.1.4 20:00,41,-20.3,7.5,49.5,-17.7,10.45
