,aKEYWORD,bNICK_NAME,cDATE,dTIME,eCOMMENT
0,@katyperry,@Kinxgd,2019.8.16,23:59:53,RT @katyperry: Haven_ heard #SmallTalk yet? Now you can head to @spotify to see my new vertical video (as you so patiently wait for THE mu
1,@katyperry,@lovereallyover,2019.8.16,23:59:32,RT @xkatycatsarah: .@katyperry https://t.co/qCHmcswVAM
2,@katyperry,@katyswitnessss,2019.8.16,23:59:14,RT @xkatycatsarah: .@katyperry HI WE WANT AN ALBUM https://t.co/aIIlpzL1fZ
3,@katyperry,@ARIANAGRANDE_1Q,2019.8.16,23:59:12,#RT @ArianaToday: RT @ArianaToday: .@KatyPerry says @ArianaGrande recently paid for her meal after they ran into ea https://t.co/A7D8aLIomM
4,@katyperry,@tocinoperry,2019.8.16,23:59:04,RT @katyperry: Haven_ heard #SmallTalk yet? Now you can head to @spotify to see my new vertical video (as you so patiently wait for THE mu
5,@katyperry,@kimberlystea,2019.8.16,23:58:57,@DivineBardi @ExActs_Charts @FentyOnChart @taylorswift13 @katyperry @NICKIMINAJ @ladygaga @Adele @carrieunderwood https://t.co/hI0xdAcbPI
6,@katyperry,@winston_bravo,2019.8.16,23:58:35,RT @ArianaToday: .@KatyPerry says @ArianaGrande recently paid for her meal after they ran into eachother at a restaurant _ https://t.co/Pgd
7,@katyperry,@NavjotToor420,2019.8.16,23:58:34,RT @katyperry: Haven_ heard #SmallTalk yet? Now you can head to @spotify to see my new vertical video (as you so patiently wait for THE mu
8,@katyperry,@dejavustylik,2019.8.16,23:58:26,RT @ArianaToday: .@KatyPerry says @ArianaGrande recently paid for her meal after they ran into eachother at a restaurant _ https://t.co/Pgd
9,@katyperry,@Queen88449,2019.8.16,23:58:23,RT @Spotify: We. Just. Can't. Believe. This new video from @katyperry is now playing on Today's Top Hits _ https://t.co/QvPI74zZ8c https://
10,@katyperry,@katyswitnessss,2019.8.16,23:58:19,@ROARGASMS @katyperry WE MOST DEFINITELY WANT AN ALBUM!
11,@katyperry,@matthewhudsonn,2019.8.16,23:58:18,@katyperry @CapitolRecords take notes https://t.co/3S5fkZ77Wu
12,@katyperry,@kintiiin98,2019.8.16,23:58:16,RT @Spotify: We. Just. Can't. Believe. This new video from @katyperry is now playing on Today's Top Hits _ https://t.co/QvPI74zZ8c https://
13,@katyperry,@ELNANOMUNDO,2019.8.16,23:58:01,"Ya confundo las canciones de @katyperry con las de @taylorswift13 , asÃ­ de mal _"
14,@katyperry,@LuisEduardoTal5,2019.8.16,23:57:57,RT @katyperry: Haven_ heard #SmallTalk yet? Now you can head to @spotify to see my new vertical video (as you so patiently wait for THE mu
15,@justinbieber,@icybangtanboyz,2019.8.16,23:59:26,"RT @billboardcharts: Most weeks spent at No. 1 on the #Artist100:

36, @taylorswift13
31, @Drake
15, @theweeknd
13, @ArianaGrande
12, @edsh"
16,@justinbieber,@moninita28,2019.8.16,23:59:08,"RT @rebeldesCLUB897: Suena la rola que estÃ¡ en el primer lugar de__ @Los10HitazosOye #IDontCare con @edsheeran @justinbieber 
@Oye897 @OyeA"
17,@justinbieber,@jeonsjhyun,2019.8.16,23:58:47,"RT @billboardcharts: Most weeks spent at No. 1 on the #Artist100:

36, @taylorswift13
31, @Drake
15, @theweeknd
13, @ArianaGrande
12, @edsh"
18,@justinbieber,@capunqqq,2019.8.16,23:58:28,@geulisceunah @justinbieber Ay__
19,@justinbieber,@Jocelyn91528500,2019.8.16,23:58:08,"RT @whtsletx: hey guys, how are u @justinbieber #WeAreWaitingJB5 https://t.co/RUwCgxDfp3"
20,@justinbieber,@iainasyahira,2019.8.16,23:58:06,"RT @billboardcharts: Most weeks spent at No. 1 on the #Artist100:

36, @taylorswift13
31, @Drake
15, @theweeknd
13, @ArianaGrande
12, @edsh"
21,@justinbieber,@JeonMila1,2019.8.16,23:57:50,"RT @billboardcharts: Most weeks spent at No. 1 on the #Artist100:

36, @taylorswift13
31, @Drake
15, @theweeknd
13, @ArianaGrande
12, @edsh"
22,@justinbieber,@bidemi_ojo,2019.8.16,23:57:41,"RT @billboardcharts: Most No. 1 albums on the #Billboard200 this decade, so far:

9, @Drake
6, @1future
6, @justinbieber
5, @JColeNC
5, @ka"
23,@justinbieber,@Jocelyn91528500,2019.8.16,23:57:21,"RT @MariaVester4: i am:

ªï_ straight

ªï_ gay

_ waiting for new music @justinbieber #WeAreWaitingJB5"
24,@justinbieber,@Jocelyn91528500,2019.8.16,23:57:14,"RT @MichelleCaissi1: ï½¥ï½¡ï½¥ï_ï¾_½¡
ï¾_   Beliebers   
ï¾_½¥ï½¡ï½¥ï¾_½¡ï¾__ï½¥ï½¡ï½¥ï_ï¾_½¡
              ï¾_ Stream  
ï½¡ï_ï¾_½¥ï½¡ï½¥ï¾__ï½¡ï_ï½¥ï½¡ï½¥ï_
ï¾_ I Dont Care  
ï¾_½¥ï½¡ï½¥ï¾_½¡ï¾__ï½¥ï½¡ï½¥ï_ï¾_½¡"
25,@justinbieber,@Jocelyn91528500,2019.8.16,23:57:08,RT @stillinlovewjb: #WeAreWaitingJB5 @justinbieber https://t.co/3TWmNwGQbM
26,@justinbieber,@StalkerThe1994,2019.8.16,23:57:04,"RT @flatlinejayb: AS BELIEBERS EST_O SEDENTAS JUSTIN BIEBER OLHA BEM OQ VOC_ TA FAZENDO
 #WeAreWaitingJB5 @justinbieber https://t.co/33jKjQ"
