,loc,date,Humi,dew,snow
0,µµºÀ»ê,2013-01-01 0:00,56.0,-15.5,6.4
1,µµºÀ»ê,2013-01-01 1:00,57.0,-15.5,6.4
2,µµºÀ»ê,2013-01-01 2:00,60.0,-14.7,6.4
3,µµºÀ»ê,2013-01-01 3:00,58.0,-14.9,6.4
4,µµºÀ»ê,2013-01-01 4:00,58.0,-15.0,6.4
5,µµºÀ»ê,2013-01-01 5:00,61.0,-14.4,6.4
6,µµºÀ»ê,2013-01-01 6:00,81.0,-11.2,6.9
7,µµºÀ»ê,2013-01-01 7:00,85.0,-10.3,8.0
8,µµºÀ»ê,2013-01-01 8:00,84.0,-10.1,9.2
9,µµºÀ»ê,2013-01-01 9:00,81.0,-9.7,9.2
10,µµºÀ»ê,2013-01-01 10:00,74.0,-9.4,9.2
11,µµºÀ»ê,2013-01-01 11:00,71.0,-8.6,9.1
12,µµºÀ»ê,2013-01-01 12:00,83.0,-6.6,9.9
13,µµºÀ»ê,2013-01-01 13:00,71.0,-6.4,9.7
14,µµºÀ»ê,2013-01-01 14:00,65.0,-6.3,9.6
15,µµºÀ»ê,2013-01-01 15:00,56.0,-8.2,9.5
16,µµºÀ»ê,2013-01-01 16:00,55.0,-8.5,9.4
17,µµºÀ»ê,2013-01-01 17:00,56.0,-8.7,9.4
18,µµºÀ»ê,2013-01-01 18:00,59.0,-8.6,9.4
19,µµºÀ»ê,2013-01-01 19:00,60.0,-8.3,9.4
20,µµºÀ»ê,2013-01-01 20:00,84.0,-4.8,9.7
21,µµºÀ»ê,2013-01-01 21:00,87.0,-4.6,10.3
22,µµºÀ»ê,2013-01-01 22:00,89.0,-3.9,10.5
23,µµºÀ»ê,2013-01-01 23:00,87.0,-4.5,10.8
24,µµºÀ»ê,2013-01-02 0:00,83.0,-7.2,10.9
25,µµºÀ»ê,2013-01-02 1:00,71.0,-10.8,10.9
26,µµºÀ»ê,2013-01-02 2:00,53.0,-15.7,10.9
27,µµºÀ»ê,2013-01-02 3:00,31.0,-22.9,10.9
28,µµºÀ»ê,2013-01-02 4:00,34.0,-23.0,10.9
29,µµºÀ»ê,2013-01-02 5:00,43.0,-20.9,10.9
30,µµºÀ»ê,2013-01-02 6:00,46.0,-21.2,10.9
31,µµºÀ»ê,2013-01-02 7:00,46.0,-21.9,10.9
32,µµºÀ»ê,2013-01-02 8:00,44.0,-22.7,10.9
33,µµºÀ»ê,2013-01-02 9:00,36.0,-24.7,10.9
34,µµºÀ»ê,2013-01-02 10:00,35.0,-24.2,10.9
35,µµºÀ»ê,2013-01-02 11:00,38.0,-23.2,10.8
36,µµºÀ»ê,2013-01-02 12:00,34.0,-23.4,10.7
37,µµºÀ»ê,2013-01-02 13:00,33.0,-23.8,10.5
38,µµºÀ»ê,2013-01-02 14:00,35.0,-22.6,10.4
39,µµºÀ»ê,2013-01-02 15:00,36.0,-21.8,10.2
40,µµºÀ»ê,2013-01-02 16:00,36.0,-22.1,10.1
41,µµºÀ»ê,2013-01-02 17:00,38.0,-22.2,10.1
42,µµºÀ»ê,2013-01-02 18:00,42.0,-21.8,10.1
43,µµºÀ»ê,2013-01-02 19:00,44.0,-21.8,10.1
44,µµºÀ»ê,2013-01-02 20:00,48.0,-21.4,10.1
45,µµºÀ»ê,2013-01-02 21:00,49.0,-21.6,10.1
46,µµºÀ»ê,2013-01-02 22:00,50.0,-22.0,10.1
47,µµºÀ»ê,2013-01-02 23:00,50.0,-22.4,10.1
48,µµºÀ»ê,2013-01-03 0:00,52.0,-22.7,10.1
49,µµºÀ»ê,2013-01-03 1:00,53.0,-23.0,10.1
50,µµºÀ»ê,2013-01-03 2:00,53.0,-23.3,10.1
51,µµºÀ»ê,2013-01-03 3:00,50.0,-24.0,10.1
52,µµºÀ»ê,2013-01-03 4:00,48.0,-24.5,10.1
53,µµºÀ»ê,2013-01-03 5:00,46.0,-25.1,10.1
54,µµºÀ»ê,2013-01-03 6:00,49.0,-24.5,10.1
55,µµºÀ»ê,2013-01-03 7:00,46.0,-25.2,10.1
56,µµºÀ»ê,2013-01-03 8:00,46.0,-25.0,10.1
57,µµºÀ»ê,2013-01-03 9:00,42.0,-25.4,10.1
58,µµºÀ»ê,2013-01-03 10:00,37.0,-25.4,10.1
59,µµºÀ»ê,2013-01-03 11:00,33.0,-25.8,10.0
60,µµºÀ»ê,2013-01-03 12:00,31.0,-25.5,9.9
61,µµºÀ»ê,2013-01-03 13:00,32.0,-24.5,9.8
62,µµºÀ»ê,2013-01-03 14:00,33.0,-23.5,9.6
63,µµºÀ»ê,2013-01-03 15:00,32.0,-23.3,9.4
64,µµºÀ»ê,2013-01-03 16:00,35.0,-22.4,9.2
65,µµºÀ»ê,2013-01-03 17:00,38.0,-21.5,9.2
66,µµºÀ»ê,2013-01-03 18:00,42.0,-21.1,9.2
67,µµºÀ»ê,2013-01-03 19:00,42.0,-21.6,9.2
68,µµºÀ»ê,2013-01-03 20:00,44.0,-21.7,9.2
69,µµºÀ»ê,2013-01-03 21:00,46.0,-21.7,9.2
70,µµºÀ»ê,2013-01-03 22:00,47.0,-21.8,9.2
71,µµºÀ»ê,2013-01-03 23:00,46.0,-22.4,9.2
72,µµºÀ»ê,2013-01-04 0:00,50.0,-21.8,9.2
73,µµºÀ»ê,2013-01-04 1:00,46.0,-22.7,9.2
74,µµºÀ»ê,2013-01-04 2:00,47.0,-22.7,9.2
75,µµºÀ»ê,2013-01-04 3:00,49.0,-22.5,9.2
76,µµºÀ»ê,2013-01-04 4:00,50.0,-22.3,9.2
77,µµºÀ»ê,2013-01-04 5:00,55.0,-21.3,9.2
78,µµºÀ»ê,2013-01-04 6:00,56.0,-21.3,9.2
79,µµºÀ»ê,2013-01-04 7:00,59.0,-20.9,9.2
80,µµºÀ»ê,2013-01-04 8:00,58.0,-21.2,9.2
81,µµºÀ»ê,2013-01-04 9:00,54.0,-21.1,9.2
82,µµºÀ»ê,2013-01-04 10:00,45.0,-21.3,9.2
83,µµºÀ»ê,2013-01-04 11:00,32.0,-23.0,9.2
84,µµºÀ»ê,2013-01-04 12:00,28.0,-23.0,9.0
85,µµºÀ»ê,2013-01-04 13:00,34.0,-19.7,8.6
86,µµºÀ»ê,2013-01-04 14:00,29.0,-21.4,8.3
87,µµºÀ»ê,2013-01-04 15:00,33.0,-20.1,7.9
88,µµºÀ»ê,2013-01-04 16:00,31.0,-21.0,7.6
