,Unnamed: 0,date,Humi.x,dew.x,snow.x,Humi.y,dew.y,snow.y,Humi,dew,snow
0,0,2013.1.1 0:00,56.0,-15.5,6.4,73.0,-12.8,7.6,64.5,-14.15,7.0
1,1,2013.1.1 1:00,57.0,-15.5,6.4,73.5,-12.65,7.6,65.25,-14.075,7.0
2,2,2013.1.1 10:00,74.0,-9.4,9.2,86.0,-7.45,12.25,80.0,-8.425,10.725
3,3,2013.1.1 11:00,71.0,-8.6,9.1,82.0,-6.45,12.3,76.5,-7.525,10.7
4,4,2013.1.1 12:00,83.0,-6.6,9.9,85.5,-4.4,12.45,84.25,-5.5,11.175
5,5,2013.1.1 13:00,71.0,-6.4,9.7,72.0,-3.8,11.85,71.5,-5.1,10.774999999999999
6,6,2013.1.1 14:00,65.0,-6.3,9.6,67.0,-4.45,11.05,66.0,-5.375,10.325
7,7,2013.1.1 15:00,56.0,-8.2,9.5,73.0,-4.4,11.0,64.5,-6.3,10.25
8,8,2013.1.1 16:00,55.0,-8.5,9.4,69.5,-4.9,11.6,62.25,-6.7,10.5
9,9,2013.1.1 17:00,56.0,-8.7,9.4,69.5,-5.35,11.7,62.75,-7.0249999999999995,10.55
10,10,2013.1.1 18:00,59.0,-8.6,9.4,74.5,-5.7,11.7,66.75,-7.15,10.55
11,11,2013.1.1 19:00,60.0,-8.3,9.4,77.0,-5.4,11.7,68.5,-6.8500000000000005,10.55
12,12,2013.1.1 2:00,60.0,-14.7,6.4,74.5,-12.3,7.6,67.25,-13.5,7.0
13,13,2013.1.1 20:00,84.0,-4.8,9.7,89.5,-3.7,11.85,86.75,-4.25,10.774999999999999
14,14,2013.1.1 21:00,87.0,-4.6,10.3,92.5,-3.6,12.15,89.75,-4.1,11.225000000000001
15,15,2013.1.1 22:00,89.0,-3.9,10.5,93.0,-3.8,12.25,91.0,-3.8499999999999996,11.375
16,16,2013.1.1 23:00,87.0,-4.5,10.8,92.5,-3.95,12.45,89.75,-4.225,11.625
17,17,2013.1.1 3:00,58.0,-14.9,6.4,74.5,-12.55,7.6,66.25,-13.725000000000001,7.0
18,18,2013.1.1 4:00,58.0,-15.0,6.4,75.0,-12.55,7.6,66.5,-13.775,7.0
19,19,2013.1.1 5:00,61.0,-14.4,6.4,76.5,-12.4,7.6,68.75,-13.4,7.0
20,20,2013.1.1 6:00,81.0,-11.2,6.9,87.0,-10.55,7.85,84.0,-10.875,7.375
21,21,2013.1.1 7:00,85.0,-10.3,8.0,89.5,-9.65,8.8,87.25,-9.975000000000001,8.4
22,22,2013.1.1 8:00,84.0,-10.1,9.2,90.0,-8.95,9.85,87.0,-9.524999999999999,9.524999999999999
23,23,2013.1.1 9:00,81.0,-9.7,9.2,88.5,-8.3,11.0,84.75,-9.0,10.1
24,24,2013.1.2 0:00,83.0,-7.2,10.9,91.5,-4.25,13.3,87.25,-5.725,12.100000000000001
25,25,2013.1.2 1:00,71.0,-10.8,10.9,85.5,-5.8,14.5,78.25,-8.3,12.7
