date,Humi,dew,snow
2013010100,56,-15.5,6.4
2013010101,57,-15.5,6.4
2013010110,74,-9.4,9.2
2013010111,71,-8.6,9.1
2013010112,83,-6.6,9.9
2013010113,71,-6.4,9.7
2013010114,65,-6.3,9.6
2013010115,56,-8.2,9.5
2013010116,55,-8.5,9.4
2013010117,56,-8.7,9.4
2013010118,59,-8.6,9.4
2013010119,60,-8.3,9.4
2013010102,60,-14.7,6.4
2013010120,84,-4.8,9.7
2013010121,87,-4.6,10.3
2013010122,89,-3.9,10.5
2013010123,87,-4.5,10.8
2013010103,58,-14.9,6.4
2013010104,58,-15,6.4
2013010105,61,-14.4,6.4
2013010106,81,-11.2,6.9
2013010107,85,-10.3,8
2013010108,84,-10.1,9.2
2013010109,81,-9.7,9.2
2013010200,83,-7.2,10.9
2013010201,71,-10.8,10.9
2013010210,35,-24.2,10.9
2013010211,38,-23.2,10.8
2013010212,34,-23.4,10.7
2013010213,33,-23.8,10.5
2013010214,35,-22.6,10.4
2013010215,36,-21.8,10.2
2013010216,36,-22.1,10.1
2013010217,38,-22.2,10.1
2013010218,42,-21.8,10.1
2013010219,44,-21.8,10.1
2013010202,53,-15.7,10.9
2013010220,48,-21.4,10.1
2013010221,49,-21.6,10.1
2013010222,50,-22,10.1
2013010223,50,-22.4,10.1
2013010203,31,-22.9,10.9
2013010204,34,-23,10.9
2013010205,43,-20.9,10.9
2013010206,46,-21.2,10.9
2013010207,46,-21.9,10.9
2013010208,44,-22.7,10.9
2013010209,36,-24.7,10.9
2013010300,52,-22.7,10.1
2013010301,53,-23,10.1
2013010310,37,-25.4,10.1
2013010311,33,-25.8,10
2013010312,31,-25.5,9.9
2013010313,32,-24.5,9.8
2013010314,33,-23.5,9.6
2013010315,32,-23.3,9.4
2013010316,35,-22.4,9.2
2013010317,38,-21.5,9.2
2013010318,42,-21.1,9.2
2013010319,42,-21.6,9.2
2013010302,53,-23.3,10.1
2013010320,44,-21.7,9.2
2013010321,46,-21.7,9.2
2013010322,47,-21.8,9.2
2013010323,46,-22.4,9.2
2013010303,50,-24,10.1
2013010304,48,-24.5,10.1
2013010305,46,-25.1,10.1
2013010306,49,-24.5,10.1
2013010307,46,-25.2,10.1
2013010308,46,-25,10.1
2013010309,42,-25.4,10.1
2013010400,50,-21.8,9.2
2013010401,46,-22.7,9.2
2013010410,45,-21.3,9.2
2013010411,32,-23,9.2
2013010412,28,-23,9
2013010413,34,-19.7,8.6
2013010414,29,-21.4,8.3
2013010415,33,-20.1,7.9
2013010416,31,-21,7.6
2013010417,33,-21.2,7.5
2013010418,34,-21.8,7.5
