date,Humi,dew,snow
2013010100,70,-9.85,
2013010101,71.5,-9.85,
2013010110,69.5,-6.15,
2013010111,70.5,-3.45,
2013010112,69.5,-2.25,
2013010113,68.5,-2.05,
2013010114,60.5,-2.35,
2013010115,51.5,-4.05,
2013010116,48,-5.4,
2013010117,48.5,-6.15,
2013010118,52.5,-6.55,
2013010119,64,-5.8,
2013010102,71,-9.85,
2013010120,64.5,-6.5,
2013010121,65.5,-7.8,
2013010122,68,-6.6,
2013010123,68.5,-6.65,
2013010103,70,-10.75,
2013010104,71,-10.95,
2013010105,70.5,-11.4,
2013010106,71,-11.55,
2013010107,72,-10.65,
2013010108,70.5,-10.15,
2013010109,66.5,-8.85,
2013010200,70.5,-5.85,
2013010201,73,-5.05,
2013010210,40.5,-13.45,
2013010211,38,-13.95,
2013010212,37.5,-13.8,
2013010213,34,-14.35,
2013010214,34.5,-13.65,
2013010215,37,-13.15,
2013010216,36,-14.35,
2013010217,36,-15.5,
2013010218,38.5,-15.65,
2013010219,39,-16.3,
2013010202,73.5,-4.75,
2013010220,38.5,-16.75,
2013010221,38.5,-17.55,
2013010222,39,-18.75,
2013010223,38.5,-19.35,
2013010203,69,-3.5,
2013010204,66,-4.25,
2013010205,63.5,-5.5,
2013010206,61.5,-6.75,
2013010207,65.5,-7.4,
2013010208,61.5,-9.6,
2013010209,54.5,-9.9,
2013010300,45.5,-19.15,
2013010301,50.5,-19.1,
2013010310,34,-21.25,
2013010311,30,-21.1,
2013010312,27,-21.65,
2013010313,26.5,-20.85,
2013010314,25,-21.2,
2013010315,25,-20.85,
2013010316,27.5,-20.5,
2013010317,29.5,-20.4,
2013010318,32.5,-20.1,
2013010319,37.5,-20.15,
2013010302,52.5,-19.35,
2013010320,40,-20.95,
2013010321,43,-21.6,
2013010322,49,-20.6,
2013010323,50,-20.85,
2013010303,50,-17.65,
2013010304,49,-17.45,
2013010305,56,-17.2,
2013010306,50.5,-17.6,
2013010307,50,-18.25,
2013010308,43,-20.05,
2013010309,40.5,-19.95,
2013010400,48.5,-21.8,
2013010401,46.5,-21.1,
2013010410,41,-18.15,
2013010411,33,-18.25,
2013010412,24.5,-19.7,
2013010413,20,-20.25,
2013010414,22.5,-18.9,
2013010415,21.5,-18.95,
2013010416,22,-19.2,
2013010417,25,-19.05,
2013010418,27,-19.3,
2013010419,35.5,-17.9,
2013010402,51,-20.75,
2013010420,38,-18,
2013010421,42,-18.65,
2013010422,47.5,-18.15,
2013010423,50.5,-18.3,
2013010403,54,-20.45,
2013010404,58,-19.9,
2013010405,55,-20.8,
2013010406,54,-21.1,
2013010407,54.5,-20.9,
2013010408,52.5,-21.35,
2013010409,54,-18.55,
2013010500,48.5,-20.35,
2013010501,48.5,-21.25,
2013010510,37.5,-19.95,
2013010511,28.5,-19.9,
2013010512,22,-20.25,
2013010513,25.5,-18.2,
2013010514,25.5,-16.45,
2013010515,30,-14,
2013010516,33.5,-13,
2013010517,39,-11.95,
2013010518,43,-12,
2013010519,47,-11.25,
2013010502,48.5,-21.85,
2013010520,49.5,-10.8,
2013010521,51.5,-10.65,
2013010522,57.5,-11.15,
2013010523,63,-11.3,
2013010503,50.5,-20.8,
2013010504,48,-21.75,
2013010505,47.5,-21.95,
2013010506,50,-20.4,
2013010507,47,-22.2,
2013010508,48.5,-22.05,
2013010509,47,-20,
2013010600,64.5,-11.45,
2013010601,64,-10.55,
2013010610,45,-11.8,
2013010611,36.5,-11.8,
2013010612,27.5,-13.75,
2013010613,21.5,-16.15,
2013010614,23,-15.4,
2013010615,23,-15.3,
2013010616,24.5,-15.15,
2013010617,28.5,-14.85,
2013010618,35,-14.2,
2013010619,40.5,-13.6,
2013010602,65.5,-10.45,
2013010620,42.5,-13.9,
2013010621,51,-13.6,
2013010622,50.5,-13.4,
2013010623,53.5,-14.4,
2013010603,66.5,-10.55,
2013010604,68,-10.25,
2013010605,66.5,-10.3,
2013010606,68,-10.1,
2013010607,66,-10.75,
2013010608,67,-11.2,
