date,Humi,dew,snow
2013010100,70,-12.15,
2013010101,71,-12.65,
2013010110,64.5,-10.75,
2013010111,58.5,-9.3,
2013010112,52,-8.2,
2013010113,50.5,-6.65,
2013010114,52,-5,
2013010115,55.5,-4.4,
2013010116,62,-3.5,
2013010117,67,-3.2,
2013010118,72,-3.2,
2013010119,72,-4,
2013010102,72.5,-12.7,
2013010120,76.5,-4.65,
2013010121,75.5,-5.05,
2013010122,79,-5.75,
2013010123,79,-6.25,
2013010103,73,-13.05,
2013010104,75,-13,
2013010105,75.5,-12.95,
2013010106,77,-12.75,
2013010107,75,-13.55,
2013010108,75.5,-13.2,
2013010109,74,-12,
2013010200,82,-6.2,
2013010201,80,-6.75,
2013010210,30.5,-19.25,
2013010211,27,-20.3,
2013010212,25.5,-20.5,
2013010213,29.5,-17.85,
2013010214,30.5,-17.2,
2013010215,31.5,-16.95,
2013010216,32,-17.45,
2013010217,29.5,-19.1,
2013010218,31,-19.45,
2013010219,33.5,-19.35,
2013010202,82,-6.6,
2013010220,34,-20.2,
2013010221,32,-21.1,
2013010222,36,-20.5,
2013010223,37.5,-20.4,
2013010203,75,-6.8,
2013010204,72,-6.5,
2013010205,73.5,-4.15,
2013010206,63.5,-6.85,
2013010207,55,-10.35,
2013010208,45.5,-14.2,
2013010209,40,-16,
2013010300,39.5,-20,
2013010301,42,-19.55,
2013010310,33.5,-22.15,
2013010311,31.5,-21.75,
2013010312,28.5,-21.8,
2013010313,25.5,-22.2,
2013010314,24,-22.75,
2013010315,23.5,-22.4,
2013010316,22,-23.7,
2013010317,25,-22.95,
2013010318,28,-22.3,
2013010319,29.5,-22.25,
2013010302,44.5,-19,
2013010320,31.5,-21.9,
2013010321,32.5,-22,
2013010322,34.5,-21.5,
2013010323,39,-20.6,
2013010303,45.5,-19,
2013010304,47.5,-18.8,
2013010305,48.5,-18.85,
2013010306,47.5,-19.4,
2013010307,47,-19.95,
2013010308,44,-20.8,
2013010309,40.5,-20.9,
2013010400,42,-20.05,
2013010401,45.5,-19.5,
2013010410,36.5,-19.85,
2013010411,31.5,-20.05,
2013010412,28,-19.95,
2013010413,25.5,-19.85,
2013010414,25.5,-18.8,
2013010415,25,-18.6,
2013010416,25,-19.05,
2013010417,27,-19.1,
2013010418,29,-19.5,
2013010419,36,-18.8,
2013010402,47,-19.6,
2013010420,35,-19.2,
2013010421,39.5,-19.1,
2013010422,46,-18.8,
2013010423,50,-18.75,
2013010403,50.5,-18.9,
2013010404,52,-19.05,
2013010405,52,-19.7,
2013010406,53.5,-19.75,
2013010407,53.5,-19.6,
2013010408,55,-19.65,
2013010409,42.5,-19.4,
2013010500,52.5,-18.5,
2013010501,55.5,-18.55,
2013010510,34,-19.4,
2013010511,28.5,-19.5,
2013010512,25,-18.25,
2013010513,30,-15.45,
2013010514,30.5,-14.3,
2013010515,32.5,-13.4,
2013010516,34.5,-12.85,
2013010517,38,-12.3,
2013010518,41.5,-12.2,
2013010519,45.5,-11.65,
2013010502,54,-19,
2013010520,48.5,-11.2,
2013010521,47.5,-11.85,
2013010522,50.5,-11.9,
2013010523,51.5,-11.5,
2013010503,55.5,-19.3,
2013010504,55,-19.5,
2013010505,55,-19.75,
2013010506,54,-19.95,
2013010507,54,-19.5,
2013010508,52,-19.8,
2013010509,43,-19.15,
2013010600,53.5,-11.5,
2013010601,55,-11.45,
2013010610,51.5,-10.95,
2013010611,40,-11.85,
2013010612,36,-12.45,
2013010613,31,-13,
2013010614,30,-13.2,
2013010615,28.5,-13.5,
2013010616,30.5,-13.15,
2013010617,31.5,-13.65,
2013010618,30.5,-14.85,
2013010619,36,-14.55,
2013010602,58,-11.8,
2013010620,32,-16.1,
2013010621,31.5,-16.5,
2013010622,32.5,-16.65,
2013010623,31.5,-17.35,
2013010603,63,-11.35,
2013010604,63.5,-10.8,
2013010605,66.5,-10.65,
2013010606,64.5,-10.5,
2013010607,67,-10.5,
2013010608,63.5,-10.55,
2013010609,59.5,-10.55,
2013010700,32.5,-17.55,
2013010701,41,-16.6,
2013010710,27,-18.5,
2013010711,21,-18.95,
2013010712,20,-18.75,
2013010713,18.5,-18.6,
2013010714,17.5,-18.6,
2013010715,17.5,-18.7,
2013010716,18,-19.2,
2013010717,20,-18.9,
2013010718,21,-19.75,
2013010719,25.5,-18.5,
2013010702,44,-16.1,
2013010720,29,-16.65,
2013010721,35.5,-14.75,
2013010722,41.5,-13.35,
2013010723,41.5,-13.25,
2013010703,41,-16.7,
2013010704,43,-16.7,
2013010705,49.5,-16.9,
2013010706,50.5,-16.7,
2013010707,39,-17.55,
2013010708,50,-16.1,
2013010709,38.5,-16.6,
2013010800,46,-12.75,
