date,temp,wind,rain
2013010100,-9.3,1.775,0
2013010101,-9.2,2.025,0
2013010110,-4.525,2.275,0.25
2013010111,-4.075,1.55,0
2013010112,-3.4,1.825,0.125
2013010113,-2.2,2.125,0
2013010114,-2.175,2.15,0
2013010115,-1.9,2.925,0
2013010116,-2.05,1.85,0
2013010117,-3.075,2,0
2013010118,-3.625,2.225,0
2013010119,-3.6,1.85,0
2013010102,-9.2,2.175,0
2013010120,-3.9,2.6,0
2013010121,-3.875,2.2,0
2013010122,-3.875,1.6,0.25
2013010123,-3.8,2.2,0
2013010103,-9.025,2.725,0
2013010104,-8.625,2.5,0
2013010105,-7.9,3.2,0
2013010106,-7.45,2.775,0
2013010107,-7.025,3.075,0.125
2013010108,-5.85,4.525,0.375
2013010109,-5.325,3.325,0.125
2013010200,-5.625,4.3,0.125
2013010201,-6.875,4.725,0.25
2013010210,-12.875,4.05,0
2013010211,-12.425,4.075,0
2013010212,-11.75,4.4,0
2013010213,-11.525,3.9,0
2013010214,-11.25,3.95,0
2013010215,-11.15,4.4,0
2013010216,-11.575,3.925,0
2013010217,-12.35,3.025,0
2013010218,-13.2,3.525,0
2013010219,-13.85,3.3,0
2013010202,-8.475,3.7,0
2013010220,-14.575,3.35,0
2013010221,-14.75,2.6,0
2013010222,-15.05,2.925,0
2013010223,-15.825,3.725,0
2013010203,-10,4.325,0
2013010204,-11.05,4.3,0
2013010205,-12.375,3.9,0
2013010206,-13.7,3.9,0
2013010207,-14.25,3.475,0
2013010208,-14.95,2.875,0
2013010209,-14.3,3.85,0
2013010300,-16.075,4.375,0
2013010301,-16.9,4.2,0
2013010310,-15.825,2.9,0
2013010311,-14.4,2.25,0
2013010312,-13.225,2.75,0
2013010313,-12.725,3,0
2013010314,-12.15,3.65,0
2013010315,-11.575,3.35,0
2013010316,-11.3,3.425,0
2013010317,-11.95,2.675,0
2013010318,-12.85,3.05,0
2013010319,-13.825,3.175,0
2013010302,-17.525,3.725,0
2013010320,-14.375,3.875,0
2013010321,-14.75,3.3,0
2013010322,-15.325,3.75,0
2013010323,-15.575,3.65,0
2013010303,-18,3.525,0
2013010304,-18.5,3.475,0
2013010305,-18.85,2.825,0
2013010306,-18.8,2.625,0
2013010307,-18.925,3.575,0
2013010308,-19.125,2.925,0
2013010309,-18.325,3.075,0
2013010400,-16,3.375,0
2013010401,-15.925,3.95,0
2013010410,-12.875,3.125,0
2013010411,-11.875,2.25,0
2013010412,-9.75,2.075,0
2013010413,-8.85,1.475,0
2013010414,-8.3,1.2,0
2013010415,-8.125,1.45,0
2013010416,-8.35,2.05,0
2013010417,-8.6,1.15,0
2013010418,-10.4,1.65,0
2013010419,-11.25,1.725,0
2013010402,-15.725,3.55,0
2013010420,-11.2,1.9,0
2013010421,-11.425,2.35,0
2013010422,-11.35,2,0
2013010423,-11.625,2.875,0
2013010403,-15.375,3.025,0
2013010404,-15.45,3.8,0
2013010405,-15.725,3.375,0
2013010406,-15.95,3.55,0
2013010407,-16.475,3.675,0
2013010408,-16.125,3.6,0
2013010409,-15.45,3.775,0
2013010500,-11.875,2.275,0
2013010501,-12.05,1.675,0
2013010510,-8.65,2.1,0
2013010511,-6.925,1.725,0
2013010512,-5.675,1.775,0
2013010513,-4.7,1.375,0
2013010514,-4.375,1.675,0
2013010515,-3.575,1.775,0
2013010516,-3.975,1.525,0
2013010517,-5.025,2.25,0
2013010518,-5.575,2.35,0
2013010519,-6.4,1.95,0
2013010502,-12.175,2.225,0
2013010520,-6.725,2.225,0
2013010521,-7.15,1.825,0
2013010522,-7.425,2.075,0
2013010523,-7.875,1.725,0
2013010503,-12.5,3.025,0
2013010504,-12.625,2.675,0
2013010505,-12.2,2.775,0
2013010506,-11.825,1.95,0
2013010507,-11.425,2,0
2013010508,-11.325,2.625,0
2013010509,-10.125,1.8,0
2013010600,-8.3,2.475,0
2013010601,-8.95,1.7,0
2013010610,-8.9,2.425,0
2013010611,-7.175,2.225,0
2013010612,-5.45,1.325,0
2013010613,-4.9,1.8,0
2013010614,-4.175,1.875,0
2013010615,-3.55,1.45,0
2013010616,-3.775,1.8,0
2013010617,-4.6,1.5,0
2013010618,-6.6,1.525,0
2013010619,-7.475,1.9,0
2013010602,-9.775,2.025,0
2013010620,-7.95,2.525,0
2013010621,-8.05,1.425,0
2013010622,-8.825,1.5,0
2013010623,-8.85,2.3,0
2013010603,-9.775,2.05,0
2013010604,-9.975,2.05,0
2013010605,-10.325,2.425,0
2013010606,-10.55,1.7,0
