date,Humi,dew,snow
2013010100,64.5,-14.15,7
2013010101,65.25,-14.075,7
2013010110,80,-8.425,10.725
2013010111,76.5,-7.525,10.7
2013010112,84.25,-5.5,11.175
2013010113,71.5,-5.1,10.775
2013010114,66,-5.375,10.325
2013010115,64.5,-6.3,10.25
2013010116,62.25,-6.7,10.5
2013010117,62.75,-7.025,10.55
2013010118,66.75,-7.15,10.55
2013010119,68.5,-6.85,10.55
2013010102,67.25,-13.5,7
2013010120,86.75,-4.25,10.775
2013010121,89.75,-4.1,11.225
2013010122,91,-3.85,11.375
2013010123,89.75,-4.225,11.625
2013010103,66.25,-13.725,7
2013010104,66.5,-13.775,7
2013010105,68.75,-13.4,7
2013010106,84,-10.875,7.375
2013010107,87.25,-9.975,8.4
2013010108,87,-9.525,9.525
2013010109,84.75,-9,10.1
2013010200,87.25,-5.725,12.1
2013010201,78.25,-8.3,12.7
2013010210,39.75,-22.05,12.675
2013010211,41.5,-21.175,12.475
2013010212,38.5,-21.125,12.325
2013010213,37.5,-21.375,12.1
2013010214,39.5,-20.425,11.925
2013010215,40.75,-19.75,11.7
2013010216,40.75,-20.175,11.625
2013010217,42.5,-20.425,11.625
2013010218,46.25,-20.3,11.625
2013010219,48.25,-20.425,11.625
2013010202,62,-12.475,12.75
2013010220,52.25,-20.075,11.625
2013010221,54,-20.125,11.625
2013010222,55.75,-20.425,11.625
2013010223,57.5,-20.525,11.625
2013010203,43.25,-18.775,12.75
2013010204,45.25,-19.325,12.775
2013010205,53,-17.9,12.775
2013010206,54,-18.525,12.775
2013010207,52.25,-19.675,12.775
2013010208,51.25,-20.4,12.75
2013010209,41.25,-22.425,12.725
2013010300,59.25,-20.875,11.625
2013010301,59.75,-21.125,11.625
2013010310,43.5,-23.45,11.625
2013010311,36.25,-24.15,11.5
2013010312,33.5,-24.05,11.375
2013010313,34.5,-23,11.25
2013010314,36,-21.725,11.05
2013010315,34.75,-21.575,10.825
2013010316,38.25,-20.525,10.6
2013010317,41.75,-19.95,10.55
2013010318,46.75,-19.525,10.55
2013010319,47.75,-19.8,10.55
2013010302,60,-21.3,11.625
2013010320,51,-19.825,10.55
2013010321,53.25,-19.85,10.55
2013010322,54.75,-20,10.55
2013010323,54,-20.475,10.55
2013010303,58.75,-21.75,11.625
2013010304,56,-22.475,11.625
2013010305,53.75,-23.35,11.625
2013010306,56,-23.1,11.625
2013010307,54.25,-23.65,11.625
2013010308,53.75,-23.625,11.625
2013010309,50,-23.575,11.625
2013010400,57.75,-20.05,10.55
2013010401,54,-21,10.55
2013010410,52,-19.95,10.525
2013010411,37.25,-21.375,10.5
2013010412,32.5,-21.525,10.325
2013010413,35.5,-19.075,9.975
2013010414,32.25,-19.975,9.7
2013010415,34.5,-19.15,9.35
2013010416,33.25,-19.75,9.075
2013010417,35.75,-19.85,8.975
2013010418,37.5,-20.3,8.975
2013010419,42,-19.625,8.975
2013010402,55,-21.05,10.55
2013010420,45.25,-19,8.975
2013010421,51.25,-18,8.975
2013010422,54.25,-17.775,8.975
2013010423,59.5,-17.2,8.975
2013010403,57.75,-20.875,10.55
2013010404,59,-20.85,10.55
2013010405,63.25,-20.125,10.55
2013010406,63.25,-20.275,10.55
2013010407,66.25,-20.075,10.55
2013010408,65.25,-20.425,10.55
2013010409,61.75,-19.925,10.55
2013010500,58.75,-17.475,8.975
2013010501,59.5,-17.75,8.975
2013010510,54.25,-16.675,8.975
2013010511,49.75,-15.575,8.975
2013010512,46.25,-14.65,8.925
2013010513,44.5,-13.125,8.825
2013010514,46,-11.025,8.7
2013010515,54,-9.5,8.65
2013010516,57.25,-9.05,8.625
2013010517,63.25,-8.55,8.625
2013010518,64.5,-8.725,8.625
2013010519,66.25,-9.025,8.625
2013010502,61,-17.65,8.975
2013010520,69.5,-8.975,8.625
2013010521,72.5,-8.55,8.625
2013010522,69,-9.65,8.625
2013010523,73.25,-9.5,8.625
2013010503,67,-16.75,8.975
2013010504,67.75,-17.125,8.975
2013010505,66.5,-17.625,8.975
2013010506,63.5,-18.175,8.975
2013010507,68,-17.325,8.975
2013010508,69.25,-17.425,8.975
2013010509,64,-17.15,8.975
2013010600,71.25,-10.225,8.625
2013010601,77.25,-9.65,8.625
2013010610,69.75,-10.925,8.625
2013010611,61.75,-11.175,8.625
2013010612,53.5,-11.825,8.625
2013010613,42.25,-13.4,8.525
2013010614,47,-11.85,8.525
2013010615,39.5,-13.4,8.5
2013010616,33.5,-15.65,8.425
2013010617,34.5,-16.625,8.425
2013010618,41.25,-15.475,8.425
2013010619,44.25,-15.375,8.425
2013010602,79,-10.175,8.625
2013010620,46.5,-15.275,8.425
2013010621,50.25,-14.7,8.425
2013010622,56.75,-13.85,8.425
2013010623,58.25,-13.95,8.425
2013010603,80.25,-10.575,8.625
2013010604,81,-10.7,8.625
2013010605,83.75,-10.575,8.625
2013010606,82.25,-11.075,8.625
2013010607,83.5,-11.175,8.625
2013010608,85,-11.05,8.625
2013010609,80.5,-11.075,8.625
2013010700,60.75,-13.575,8.425
2013010701,62,-13.825,8.425
2013010710,62,-12.3,8.425
2013010711,47,-14.1,8.4
2013010712,36.75,-15.475,8.375
2013010713,40.5,-12.75,8.275
2013010714,37.25,-12.75,8.175
2013010715,40.5,-12.45,8.15
2013010716,44.75,-11.625,8.1
2013010717,49.75,-10.975,8.1
2013010718,51.25,-11.325,8.1
2013010719,52.75,-11.525,8.1
2013010702,64,-14.05,8.425
2013010720,54.25,-11.5,8.1
2013010721,54,-11.925,8.1
2013010722,63.5,-10.225,8.1
2013010723,69.75,-9.525,8.1
2013010703,65.25,-14.025,8.425
2013010704,67.75,-13.95,8.425
2013010705,66.25,-14.35,8.425
2013010706,71.25,-13.4,8.425
2013010707,69.5,-13.325,8.425
2013010708,70.25,-13.275,8.425
2013010709,65.75,-13.075,8.425
2013010800,69.75,-9.85,8.1
2013010801,70,-10.325,8.1
2013010810,67.25,-9.85,8.1
2013010811,62,-9.375,8.1
2013010812,56,-9.75,7.925
2013010813,46,-11.525,7.825
2013010814,34,-15.2,7.725
2013010815,35.75,-13.575,7.625
2013010816,39.5,-12.9,7.625
2013010817,42.75,-12.925,7.625
2013010818,42,-14.05,7.625
2013010819,48.25,-13.15,7.625
2013010802,68.75,-10.775,8.1
2013010820,52,-12.625,7.625
2013010821,50,-13.775,7.625
2013010822,48.5,-14.9,7.625
2013010823,48,-15.425,7.625
2013010803,73.75,-10.15,8.1
2013010804,77.25,-9.95,8.1
2013010805,72,-10.95,8.1
2013010806,75.25,-10.525,8.1
2013010807,77.5,-10.525,8.1
2013010808,78.5,-10.325,8.1
2013010809,73.5,-10.5,8.1
2013010900,50,-15.225,7.625
2013010901,54.5,-14.6,7.625
2013010910,43.25,-19.15,7.625
2013010911,39.75,-19.275,7.625
2013010912,33.25,-20.6,7.6
2013010913,33.5,-19.775,7.6
2013010914,34,-19.55,7.525
2013010915,33.5,-19.2,7.525
2013010916,32.5,-19.95,7.525
2013010917,32.5,-20.725,7.45
2013010918,35.75,-20.525,7.45
2013010919,38.75,-20.075,7.45
2013010902,53.25,-15.575,7.625
2013010920,41.75,-19.575,7.45
2013010921,43.75,-19.475,7.45
2013010922,48.25,-18.65,7.45
2013010923,49,-18.9,7.45
2013010903,55.25,-15.575,7.625
2013010904,55.5,-15.65,7.625
2013010905,58,-15.55,7.625
2013010906,57.75,-16,7.625
2013010907,57.25,-16.425,7.625
2013010908,53.25,-17.75,7.625
2013010909,46.75,-18.7,7.625
2013011000,44,-20.7,7.45
2013011001,46,-20.6,7.45
2013011010,35.25,-21.825,7.45
2013011011,29.75,-22.3,7.45
2013011012,31.75,-19.5,7.45
2013011013,28.5,-19.7,7.45
2013011014,27.75,-19.8,7.45
2013011015,29,-19.125,7.35
2013011016,28.75,-19.2,7.35
2013011017,30.25,-19.65,7.35
2013011018,33,-19.6,7.35
2013011019,36.75,-18.95,7.35
2013011002,52.25,-19.4,7.45
2013011020,41.75,-17.675,7.35
2013011021,44,-17.4,7.35
2013011022,45,-17.075,7.35
2013011023,49.25,-16.725,7.35
2013011003,56,-18.9,7.45
2013011004,58.25,-18.875,7.45
2013011005,58,-19.075,7.45
2013011006,58.5,-19.1,7.45
2013011007,57.75,-19.075,7.45
2013011008,59.75,-18.775,7.45
2013011009,50,-19.6,7.45
2013011100,55,-15.75,7.35
2013011101,51.75,-16.35,7.35
2013011110,56.5,-13.125,7.35
2013011111,51,-12.55,7.35
2013011112,46.25,-12.025,7.325
2013011113,45,-10.75,7.3
2013011114,44.5,-10.1,7.2
2013011115,44.25,-9.675,7.175
2013011116,47.75,-9.175,7.15
2013011117,50.25,-9.075,7.15
2013011118,51.75,-9.15,7.15
2013011119,54.75,-8.825,7.15
2013011102,53.25,-16.075,7.35
2013011120,55.5,-9,7.15
2013011121,58.75,-8.925,7.15
2013011122,58.75,-9.175,7.15
2013011123,63.5,-8.875,7.15
2013011103,57,-15.45,7.35
2013011104,58.25,-14.95,7.35
2013011105,58,-15.225,7.35
2013011106,60.5,-14.8,7.35
2013011107,60,-14.825,7.35
2013011108,60.5,-14.6,7.35
2013011109,59.75,-13.85,7.35
2013011200,64.75,-8.8,7.15
2013011201,64.5,-8.625,7.15
2013011210,72.5,-5.375,7.225
2013011211,69.25,-4.35,7.225
2013011212,67.75,-2.3,7.05
2013011213,62.75,-2.175,6.775
2013011214,58.75,-3.025,6.325
2013011215,63.5,-2.05,5.675
2013011216,63.25,-2.55,5.025
2013011217,64.75,-3.025,4.825
2013011218,67.5,-3.375,4.825
2013011219,71.5,-3.3,4.825
2013011202,64.5,-8.825,7.15
2013011220,77.25,-2.975,4.825
2013011221,79.5,-3.225,4.825
2013011222,81.5,-3.35,4.825
2013011223,83.25,-3.4,4.825
2013011203,64.75,-8.65,7.15
2013011204,65.25,-8.625,7.15
2013011205,65.25,-8.375,7.15
2013011206,74.5,-6.575,7.225
2013011207,78.5,-6.025,7.225
2013011208,79,-5.775,7.225
2013011209,77.75,-5.375,7.225
2013011300,85.5,-3.7,4.825
2013011301,86.75,-3.6,4.825
2013011310,77.5,-4.75,4.825
2013011311,68.5,-5.05,4.725
2013011312,62.25,-5.325,4.7
2013011313,48.75,-7.975,4.6
2013011314,42.75,-9.225,4.575
2013011315,40.25,-9.875,4.475
2013011316,60.5,-4.325,4.4
2013011317,61.5,-4.725,4.4
2013011318,66,-4.6,4.4
2013011319,68.5,-4.7,4.4
2013011302,87.75,-3.925,4.825
2013011320,71.75,-4.825,4.4
2013011321,66.25,-6.275,4.4
2013011322,67.5,-6.55,4.4
2013011323,68.5,-6.8,4.4
2013011303,86.25,-4.425,4.825
2013011304,87,-4.525,4.825
2013011305,86.25,-4.525,4.825
2013011306,88,-4.55,4.825
2013011307,87.25,-4.8,4.825
2013011308,88,-4.675,4.825
2013011309,84,-4.8,4.825
2013011400,69.25,-6.725,4.4
2013011401,75,-6.425,4.4
2013011410,73.5,-6.825,4.4
2013011411,66.5,-6.875,4.4
2013011412,56.5,-7.6,4.375
2013011413,47.25,-9.275,4.35
2013011414,51.75,-6.8,4.25
2013011415,51.5,-6.875,4.15
2013011416,52.25,-7.1,4.125
2013011417,55.75,-7.125,4.1
2013011418,54.5,-8.075,4.1
2013011419,54.5,-8.775,4.1
2013011402,71.25,-7.225,4.4
2013011420,56,-9.175,4.1
2013011421,56.75,-9.375,4.1
2013011422,61.25,-9.275,4.1
2013011423,63.75,-8.975,4.1
2013011403,76.5,-7.025,4.4
2013011404,78,-6.975,4.4
2013011405,80.25,-7.075,4.4
2013011406,79.25,-7.45,4.4
2013011407,81.5,-7.375,4.4
2013011408,81.75,-7.425,4.4
2013011409,79,-7.6,4.4
2013011500,66.75,-9.05,4.1
2013011501,67.25,-9.125,4.1
2013011510,62.25,-9.775,4.1
2013011511,57,-8.8,4.1
2013011512,53,-8.375,4.1
2013011513,48.5,-8.425,4.075
2013011514,47.25,-8.5,4.05
2013011515,43,-9.05,3.925
2013011516,40.75,-9.625,3.9
2013011517,48.25,-8.25,3.875
2013011518,57.5,-7.275,3.875
2013011519,59,-7.725,3.875
2013011502,70.25,-9.05,4.1
2013011520,62,-7.725,3.875
2013011521,66.25,-7.4,3.875
2013011522,67.25,-7.375,3.875
2013011523,66.75,-7.925,3.875
2013011503,65.75,-10.075,4.1
2013011504,66.5,-10.425,4.1
2013011505,66.25,-10.875,4.1
2013011506,68.25,-10.35,4.1
2013011507,73,-10.05,4.1
2013011508,73.25,-10,4.1
2013011509,68,-10.15,4.1
2013011600,67,-8.125,3.875
2013011601,68.5,-8.275,3.875
2013011610,78.25,-5.775,4.25
2013011611,78.25,-5.65,4.25
2013011612,80,-4.8,4.25
2013011613,70,-5.375,4.025
2013011614,64.25,-5.775,3.8
2013011615,65,-5.925,3.7
2013011616,62.5,-6.55,3.7
2013011617,62.25,-7.35,3.7
2013011618,63,-7.775,3.7
2013011619,68,-7.025,3.725
2013011602,68,-8.625,3.875
2013011620,67.75,-7.675,3.7
2013011621,70,-7.925,3.7
2013011622,68.75,-8.65,3.7
2013011623,67.25,-9.3,3.7
2013011603,67.5,-8.7,3.875
2013011604,67.75,-8.6,3.875
2013011605,68,-8.525,3.875
2013011606,67.5,-8.25,3.875
2013011607,65,-8.3,3.875
2013011608,67.5,-7.775,3.875
2013011609,71.75,-6.575,3.95
2013011700,66.5,-10.025,3.7
